PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3470	chr2	98363810	98364107	+	0	NA	Intergenic	L1MB7|LINE|L1	13089	NM_207519	7535	Hs.234569	NM_001079	ENSG00000115085	ZAP70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	zeta chain of T cell receptor associated protein kinase 70	protein-coding
1-2158	chr6	87783870	87784167	+	0	NA	Intergenic	Intergenic	20806	NM_000735	1081	Hs.119689	NM_000735	ENSG00000135346	CGA	CG-ALPHA|FSHA|GPA1|GPHA1|GPHa|HCG|LHA|TSHA	glycoprotein hormones, alpha polypeptide	protein-coding
1-217	chr22	36124972	36125269	+	0	NA	intron (NM_030642, intron 4 of 4)	intron (NM_030642, intron 4 of 4)	11201	NM_030642	80831	Hs.326561	NM_030642	ENSG00000128313	APOL5	APOL-V|APOLV	apolipoprotein L5	protein-coding
1-2633	chr21	45379720	45380017	+	0	NA	intron (NM_020132, intron 3 of 9)	intron (NM_020132, intron 3 of 9)	34589	NM_001037553	56894	Hs.248785	NM_020132	ENSG00000160216	AGPAT3	1-AGPAT 3|LPAAT-GAMMA1|LPAAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein-coding
1-467	chr20	62800064	62800361	+	0	NA	intron (NM_004535, intron 1 of 22)	intron (NM_004535, intron 1 of 22)	4407	NM_004535	4661	Hs.279562	NM_004535	ENSG00000196132	MYT1	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	myelin transcription factor 1	protein-coding
1-199	chr1	228707282	228707579	+	0	NA	Intergenic	L2a|LINE|L2	-7441	NM_001287262	100129094	Hs.730208	NM_001287262		BTNL10	BTN4|BUTR1	butyrophilin like 10	protein-coding
1-29	chr1	181178138	181178435	+	0	NA	Intergenic	Intergenic	-27238	NR_046249	100287948	Hs.742594	NR_046249	ENSG00000179452	LINC01699	GM140	long intergenic non-protein coding RNA 1699	ncRNA
1-3015	chr1	29529316	29529613	+	0	NA	intron (NR_146214, intron 5 of 10)	intron (NR_146214, intron 5 of 10)	-21052	NM_005626	6429	Hs.469970	NM_005626	ENSG00000116350	SRSF4	SFRS4|SRP75	serine and arginine rich splicing factor 4	protein-coding
1-1674	chr7	22056162	22056459	+	0	NA	Intergenic	Intergenic	-70793	NM_018719	55536	Hs.744069	NM_018719	ENSG00000164649	CDCA7L	JPO2|R1|RAM2	cell division cycle associated 7 like	protein-coding
1-3029	chr1	105642812	105643109	+	0	NA	Intergenic	Intergenic	518597	NR_125955	101928476	Hs.563856	NR_125954	ENSG00000230768	LINC01676	-	long intergenic non-protein coding RNA 1676	ncRNA
1-1704	chr9	132881569	132881866	+	0	NA	intron (NM_001136557, intron 16 of 19)	intron (NM_001136557, intron 16 of 19)	24781	NR_135124	401554	Hs.522437	NR_135124	ENSG00000196979	GPRACR	LncGPR107	GPR107 adjacent cis regulating lncRNA	ncRNA
1-2024	chr17	8948359	8948656	+	0	NA	intron (NM_004822, intron 2 of 6)	intron (NM_004822, intron 2 of 6)	23680	NM_004822	9423	Hs.660885	NM_004822	ENSG00000065320	NTN1	MRMV4|NTN1L	netrin 1	protein-coding
1-3572	chr6	64445241	64445538	+	0	NA	intron (NM_001142800, intron 41 of 42)	(CA)n|Simple_repeat|Simple_repeat	-71340	NR_157848	112935969		NR_157848		SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
1-3529	chr4	15234909	15235206	+	0	NA	intron (NR_125911, intron 2 of 5)	intron (NR_125911, intron 2 of 5)	-106555	NM_001135170	114905	Hs.153714	NM_031911	ENSG00000163145	C1QTNF7	CTRP7|ZACRP7	C1q and TNF related 7	protein-coding
1-895	chr7	464522	464819	+	0	NA	Intergenic	Intergenic	45279	NR_033960	442497	Hs.704269	NR_033960	ENSG00000249574	LOC442497	-	uncharacterized LOC442497	ncRNA
1-362	chr4	111775401	111775698	+	0	NA	Intergenic	Intergenic	6254	NR_030643	100126354		NR_030643	ENSG00000215961	MIR297	MIRN297|hsa-mir-297	microRNA 297	ncRNA
1-128	chr3	108907654	108907951	+	0	NA	Intergenic	Intergenic	10790	NR_026767	677779	Hs.618669	NM_001040054	ENSG00000214381	LINC00488	C3orf66	long intergenic non-protein coding RNA 488	ncRNA
1-860	chrUn_gl000220	54931	55228	+	0	NA	Intergenic	Intergenic	-42050	NR_038958	100507412	Hs.426704	NR_038958		LOC100507412	-	uncharacterized LOC100507412	ncRNA
1-2423	chr5	54469703	54470000	+	0	NA	promoter-TSS (NM_001145734)	promoter-TSS (NM_001145734)	-846	NM_001170402	166979	Hs.669184	NM_152623	ENSG00000164287	CDC20B	G6VTS76519	cell division cycle 20B	protein-coding
1-1311	chr4	173079172	173079469	+	0	NA	intron (NM_001034845, intron 2 of 12)	intron (NM_001034845, intron 2 of 12)	-344562	NR_134656	441052	Hs.386236	NR_134656		LOC441052	-	uncharacterized LOC441052	ncRNA
1-3128	chr5	127292796	127293093	+	0	NA	intron (NR_152813, intron 2 of 3)	intron (NR_152813, intron 2 of 3)	125923	NR_152814	644873	Hs.340623	NR_015360	ENSG00000245937	LINC01184	-	long intergenic non-protein coding RNA 1184	ncRNA
1-1728	chr12	89740243	89740540	+	0	NA	TTS (NM_022652)	TTS (NM_022652)	5887	NM_001946	1848	Hs.298654	NM_001946	ENSG00000139318	DUSP6	HH19|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
1-1078	chr6	169313398	169313695	+	0	NA	Intergenic	Intergenic	50931	NR_136249	105378146	Hs.343631	NR_136248		LOC105378146	-	uncharacterized LOC105378146	ncRNA
1-1652	chr4	146652207	146652504	+	0	NA	intron (NM_001080531, intron 5 of 5)	Helitron3Na_Mam|RC|Helitron	50999	NM_001080531	646603		NM_001080531	ENSG00000237136	C4orf51	-	chromosome 4 open reading frame 51	protein-coding
1-642	chr16	46655252	46655549	+	0	NA	promoter-TSS (NM_001324319)	promoter-TSS (NM_001324319)	-109	NR_136738	79801	Hs.123253	NM_024745	ENSG00000171241	SHCBP1	PAL	SHC binding and spindle associated 1	protein-coding
1-1418	chr20	31124411	31124708	+	0	NA	intron (NM_001256798, intron 1 of 10)	CpG	26797	NR_110619	101929698	Hs.638392	NR_110619	ENSG00000277301	LOC101929698	-	uncharacterized LOC101929698	ncRNA
1-1282	chr1	234908497	234908794	+	0	NA	Intergenic	Intergenic	-12842	NR_148962	100130249	Hs.617350	NR_148962	ENSG00000279261	PP2672	-	uncharacterized LOC100130249	ncRNA
1-2607	chr19	15234561	15234858	+	0	NA	intron (NM_006844, intron 2 of 15)	intron (NM_006844, intron 2 of 15)	1888	NM_006844	10994	Hs.78880	NM_006844	ENSG00000105135	ILVBL	209L8|AHAS|HACL1L|ILV2H	ilvB acetolactate synthase like	protein-coding
1-2055	chr22	43689789	43690086	+	0	NA	intron (NM_173050, intron 3 of 21)	intron (NM_173050, intron 3 of 21)	17989	NR_134582	101927447	Hs.621227	NR_134582	ENSG00000203527	LOC101927447	-	uncharacterized LOC101927447	ncRNA
1-4465	chr3	183614653	183614950	+	0	NA	Intergenic	Intergenic	10213	NR_039650	100616127		NR_039650	ENSG00000263932	MIR4448	-	microRNA 4448	ncRNA
1-2154	chr6	23656338	23656635	+	0	NA	Intergenic	Intergenic	-469957	NM_080723	140767	Hs.726270	NM_080723	ENSG00000152954	NRSN1	VMP|p24	neurensin 1	protein-coding
1-2451	chr6	136939368	136939665	+	0	NA	intron (NM_005923, intron 15 of 29)	intron (NM_005923, intron 15 of 29)	-10736	NR_125858	101928461	Hs.666518	NR_125858		LOC101928461	-	uncharacterized LOC101928461	ncRNA
1-195	chr17	17288810	17289107	+	0	NA	Intergenic	MIRb|SINE|MIR	82271	NM_020201	56953	Hs.513977	NM_020201	ENSG00000205309	NT5M	dNT-2|dNT2|mdN	5',3'-nucleotidase, mitochondrial	protein-coding
1-1469	chr3	149809337	149809634	+	0	NA	Intergenic	Intergenic	-4745	NR_136187	105374313	Hs.151216	NR_136187		LOC105374313	-	uncharacterized LOC105374313	ncRNA
1-4034	chr5	112361035	112361332	+	0	NA	3' UTR (NM_002387, exon 17 of 17)	3' UTR (NM_002387, exon 17 of 17)	48688	NM_001242377	167227	Hs.443875	NM_152624	ENSG00000172795	DCP2	NUDT20	decapping mRNA 2	protein-coding
1-4522	chr11	47164963	47165260	+	0	NA	intron (NM_001003678, intron 4 of 8)	intron (NM_001003678, intron 4 of 8)	33319	NM_032389	84364	Hs.436204	NM_032389	ENSG00000149182	ARFGAP2	IRZ|NBLA10535|ZFP289|ZNF289	ADP ribosylation factor GTPase activating protein 2	protein-coding
1-463	chr18	74104332	74104629	+	0	NA	intron (NM_014643, intron 3 of 7)	(TGGG)n|Simple_repeat|Simple_repeat	-99128	NR_136504	101927989	Hs.665186	NR_136504	ENSG00000265778	LOC101927989	-	uncharacterized LOC101927989	ncRNA
1-3126	chr5	111803155	111803452	+	0	NA	Intergenic	Intergenic	48023	NR_027706	54508	Hs.591264	NR_027706	ENSG00000278921	EPB41L4A-DT	EPB41L4A-AS2	EPB41L4A divergent transcript	ncRNA
1-3688	chr11	93357977	93358274	+	0	NA	Intergenic	L2b|LINE|L2	-36723	NM_033395	85459	Hs.458418	NM_033395	ENSG00000166004	CEP295	KIAA1731	centrosomal protein 295	protein-coding
1-2389	chr3	58011962	58012259	+	0	NA	intron (NM_001164317, intron 1 of 46)	intron (NM_001164317, intron 1 of 46)	17961	NM_001164319	2317	Hs.476448	NM_001457	ENSG00000136068	FLNB	ABP-278|ABP-280|AOI|FH1|FLN-B|FLN1L|LRS1|SCT|TABP|TAP	filamin B	protein-coding
1-1697	chr9	85999116	85999413	+	0	NA	intron (NM_174938, intron 2 of 13)	intron (NM_174938, intron 2 of 13)	-52388	NM_001244961	257019	Hs.127535	NM_174938	ENSG00000172159	FRMD3	4.1O|EPB41L4O|EPB41LO|P410	FERM domain containing 3	protein-coding
1-2922	chr16	15111061	15111358	+	0	NA	exon (NM_001285449, exon 11 of 17)	exon (NM_001285449, exon 11 of 17)	-6955	NR_036054	100302243		NR_036054	ENSG00000238728	MIR1972-1	MIR1972|hsa-mir-1972|hsa-mir-1972-1	microRNA 1972-1	ncRNA
1-1658	chr5	146520159	146520456	+	0	NA	Intergenic	LTR22|LTR|ERVK	-59224	NM_001271900	5521	Hs.627618	NM_181674	ENSG00000156475	PPP2R2B	B55BETA|PP2AB55BETA|PP2ABBETA|PP2APR55B|PP2APR55BETA|PR2AB55BETA|PR2ABBETA|PR2APR55BETA|PR52B|PR55-BETA|PR55BETA|SCA12	protein phosphatase 2 regulatory subunit Bbeta	protein-coding
1-132	chr10	80988757	80989054	+	0	NA	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-118320	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
1-2114	chr3	111992086	111992383	+	0	NA	intron (NM_001320531, intron 6 of 27)	intron (NM_001320531, intron 6 of 27)	20829	NR_135297	285335	Hs.680112	NM_183061	ENSG00000172139	SLC9C1	NHE|NHE-10|SLC9A10|sperm-NHE	solute carrier family 9 member C1	protein-coding
1-1041	chrX	39623582	39623879	+	0	NA	Intergenic	Intergenic	-73085	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
1-3020	chr1	53704223	53704520	+	0	NA	promoter-TSS (NM_002370)	promoter-TSS (NM_002370)	89	NR_038953	100507564	Hs.592502	NR_038953	ENSG00000226754	LOC100507564	-	uncharacterized LOC100507564	ncRNA
1-1426	chr22	23775443	23775740	+	0	NA	promoter-TSS (NR_110538)	promoter-TSS (NR_110538)	-160	NR_110538	101929374	Hs.616963	NR_110538	ENSG00000234928	LINC01659	-	long intergenic non-protein coding RNA 1659	ncRNA
1-2298	chr19	56200149	56200446	+	0	NA	exon (NM_001130071, exon 5 of 11)	exon (NM_001130071, exon 5 of 11)	12306	NM_001130071	29924	Hs.279953	NM_013333	ENSG00000063245	EPN1	-	epsin 1	protein-coding
1-898	chr7	31068331	31068628	+	0	NA	Intergenic	Intergenic	-23444	NM_001199637	117	Hs.377783	NM_001118	ENSG00000078549	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	ADCYAP receptor type I	protein-coding
1-1924	chr7	1309499	1309796	+	0	NA	Intergenic	Intergenic	37139	NM_001080461	340260		NM_001080461	ENSG00000164853	UNCX	UNCX4.1	UNC homeobox	protein-coding
1-3212	chr9	134553102	134553399	+	0	NA	intron (NM_001304275, intron 1 of 23)	intron (NM_001304275, intron 1 of 23)	31979	NM_198679	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
1-624	chr9	130620244	130620541	+	0	NA	Intergenic	LTR33|LTR|ERVL	-3340	NM_000118	2022	Hs.76753	NM_000118	ENSG00000106991	ENG	END|HHT1|ORW1	endoglin	protein-coding
1-1890	chr4	184439047	184439344	+	0	NA	Intergenic	Intergenic	11960	NM_001291959	3622	Hs.107153	NM_001564	ENSG00000168556	ING2	ING1L|p33ING2	inhibitor of growth family member 2	protein-coding
1-2979	chr20	48532876	48533173	+	0	NA	promoter-TSS (NM_006038)	promoter-TSS (NM_006038)	665	NR_134564	105372653	Hs.589895	NR_134564		LOC105372653	-	uncharacterized LOC105372653	ncRNA
1-693	chr11	109643515	109643812	+	0	NA	Intergenic	Intergenic	-320455	NM_033390	85463	Hs.376289	NM_033390	ENSG00000149289	ZC3H12C	MCPIP3	zinc finger CCCH-type containing 12C	protein-coding
1-1366	chr10	120352546	120352843	+	0	NA	3' UTR (NM_004248, exon 2 of 2)	3' UTR (NM_004248, exon 2 of 2)	2466	NM_004248	2834	Hs.248119	NM_004248	ENSG00000119973	PRLHR	GPR10|GR3|PrRPR	prolactin releasing hormone receptor	protein-coding
1-3700	chr11	133081742	133082039	+	0	NA	intron (NM_001012393, intron 1 of 7)	intron (NM_001012393, intron 1 of 7)	-268227	NM_001319105	4978	Hs.4817	NM_002545	ENSG00000183715	OPCML	IGLON1|OBCAM|OPCM	opioid binding protein/cell adhesion molecule like	protein-coding
1-1646	chr4	6933102	6933399	+	0	NA	intron (NM_020773, intron 2 of 13)	intron (NM_020773, intron 2 of 13)	21697	NM_020773	57533	Hs.518611	NM_020773	ENSG00000132405	TBC1D14	-	TBC1 domain family member 14	protein-coding
1-1331	chr7	92855674	92855971	+	0	NA	promoter-TSS (NM_001039372)	promoter-TSS (NM_001039372)	-40	NM_001288804	253012	Hs.443169	NM_198151	ENSG00000188175	HEPACAM2	MIKI	HEPACAM family member 2	protein-coding
1-839	chr13	24564769	24565066	+	0	NA	intron (NM_001286792, intron 2 of 14)	L2b|LINE|L2	10976	NR_104595	221178	Hs.434298	NM_153023	ENSG00000182957	SPATA13	ARHGEF29|ASEF2	spermatogenesis associated 13	protein-coding
1-1470	chr4	790820	791117	+	0	NA	intron (NM_006651, intron 2 of 3)	L2a|LINE|L2	-15332	NR_036511	100129917	Hs.731755	NR_036511	ENSG00000249592	LOC100129917	-	uncharacterized LOC100129917	ncRNA
1-4523	chr11	70334272	70334569	+	0	NA	intron (NM_133266, intron 9 of 10)	intron (NM_133266, intron 9 of 10)	89785	NM_005231	2017	Hs.596164	NM_005231	ENSG00000085733	CTTN	EMS1	cortactin	protein-coding
1-855	chr20	62169119	62169416	+	0	NA	promoter-TSS (NM_005975)	promoter-TSS (NM_005975)	-538	NM_005975	5753	Hs.51133	NM_005975	ENSG00000101213	PTK6	BRK	protein tyrosine kinase 6	protein-coding
1-2805	chr7	91671253	91671550	+	0	NA	exon (NM_005751, exon 19 of 50)	exon (NM_005751, exon 19 of 50)	92390	NM_000786	1595	Hs.417077	NM_000786	ENSG00000001630	CYP51A1	CP51|CYP51|CYPL1|LDM|P450-14DM|P450L1	cytochrome P450 family 51 subfamily A member 1	protein-coding
1-3561	chr5	176897055	176897352	+	0	NA	intron (NM_004395, intron 1 of 13)	intron (NM_004395, intron 1 of 13)	2668	NM_080881	1627	Hs.130316	NM_004395	ENSG00000113758	DBN1	D0S117E	drebrin 1	protein-coding
1-1812	chrX	108740940	108741237	+	0	NA	Intergenic	L1M1|LINE|L1	-15773	NM_001522	2986	Hs.123074	NM_001522	ENSG00000101890	GUCY2F	CYGF|GC-F|GUC2DL|GUC2F|RETGC-2|ROS-GC2	guanylate cyclase 2F, retinal	protein-coding
1-755	chr11	79104745	79105042	+	0	NA	intron (NM_001098816, intron 1 of 33)	intron (NM_001098816, intron 1 of 33)	8260	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
1-3351	chr18	20132315	20132612	+	0	NA	Intergenic	Intergenic	-134585	NM_172241	64693	Hs.406709	NM_022663	ENSG00000212710	CTAGE1	CT21.1|CT21.2|CTAGE|CTAGE-1|CTAGE-2	cutaneous T cell lymphoma-associated antigen 1	protein-coding
1-2182	chr9	37576204	37576501	+	0	NA	promoter-TSS (NM_012166)	promoter-TSS (NM_012166)	25	NM_012166	26267	Hs.709527	NM_012166	ENSG00000147912	FBXO10	FBX10|PRMT11	F-box protein 10	protein-coding
1-322	chr19_gl000208_random	90439	90736	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
1-2170	chr7	107282127	107282424	+	0	NA	Intergenic	PRIMAX-int|LTR|ERV1	-18998	NM_000441	5172	Hs.571246	NM_000441	ENSG00000091137	SLC26A4	DFNB4|EVA|PDS|TDH2B	solute carrier family 26 member 4	protein-coding
1-1970	chr11	117708449	117708746	+	0	NA	3' UTR (NM_001164836, exon 10 of 10)	3' UTR (NM_001164836, exon 10 of 10)	-9793	NM_021603	486	Hs.731865	NM_001680	ENSG00000137731	FXYD2	ATP1G1|HOMG2	FXYD domain containing ion transport regulator 2	protein-coding
1-3846	chrX	24052639	24052936	+	0	NA	Intergenic	Intergenic	-7484	NM_030624	80311	Hs.495854	NM_030624	ENSG00000174010	KLHL15	HEL-S-305	kelch like family member 15	protein-coding
1-4007	chr4	142666481	142666778	+	0	NA	Intergenic	Intergenic	108893	NR_037840	3600	Hs.168132	NM_000585	ENSG00000164136	IL15	IL-15	interleukin 15	protein-coding
1-4231	chr11	121163308	121163605	+	0	NA	promoter-TSS (NM_006918)	promoter-TSS (NM_006918)	-24	NM_006918	6309	Hs.287749	NM_006918	ENSG00000109929	SC5D	ERG3|S5DES|SC5DL	sterol-C5-desaturase	protein-coding
1-3176	chr8	10117859	10118156	+	0	NA	intron (NM_001199729, intron 4 of 6)	intron (NM_001199729, intron 4 of 6)	164846	NM_001135671	4482	Hs.490981	NM_012331	ENSG00000175806	MSRA	PMSR	methionine sulfoxide reductase A	protein-coding
1-1009	chr12	113683619	113683916	+	0	NA	intron (NM_001351347, intron 1 of 26)	intron (NM_001351347, intron 1 of 26)	1594	NM_001351347	53373	Hs.524763	NM_017901	ENSG00000186815	TPCN1	TPC1	two pore segment channel 1	protein-coding
1-523	chr2	42273290	42273587	+	0	NA	Intergenic	Intergenic	-1723	NM_138370	91461	Hs.408542	NM_138370	ENSG00000162878	PKDCC	SGK493|Vlk	protein kinase domain containing, cytoplasmic	protein-coding
1-298	chr19	48014946	48015243	+	0	NA	intron (NM_003827, intron 1 of 10)	MIRb|SINE|MIR	3226	NR_038457	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
1-1921	chr6	166567510	166567807	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	13681	NM_001366285	6862	Hs.389457	NM_003181	ENSG00000164458	TBXT	SAVA|T|TFT	T-box transcription factor T	protein-coding
1-269	chr10	81014827	81015124	+	0	NA	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-92250	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
1-238	chr1	58731934	58732231	+	0	NA	Intergenic	Intergenic	-15863	NM_001353980	1600	Hs.477370	NM_021080	ENSG00000173406	DAB1	SCA37	DAB adaptor protein 1	protein-coding
1-2511	chr10	95632605	95632902	+	0	NA	Intergenic	Intergenic	-20982	NR_144336	159371	Hs.632085	NM_153226	ENSG00000176273	SLC35G1	C10orf60|POST|TMEM20	solute carrier family 35 member G1	protein-coding
1-511	chr22	29290336	29290633	+	0	NA	intron (NM_001206998, intron 1 of 8)	intron (NM_001206998, intron 1 of 8)	10924	NM_001206998	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
1-1348	chr9	83959194	83959491	+	0	NA	Intergenic	Intergenic	345108	NM_001303103	7088	Hs.197320	NM_005077	ENSG00000196781	TLE1	ESG|ESG1|GRG1	TLE family member 1, transcriptional corepressor	protein-coding
1-2735	chr3	183849519	183849816	+	0	NA	Intergenic	L2a|LINE|L2	-3479	NM_003907	8893	Hs.283551	NM_003907	ENSG00000145191	EIF2B5	CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM	eukaryotic translation initiation factor 2B subunit epsilon	protein-coding
1-1894	chr5	54358275	54358572	+	0	NA	Intergenic	Intergenic	38339	NM_002104	3003	Hs.277937	NM_002104	ENSG00000113088	GZMK	TRYP2	granzyme K	protein-coding
1-3674	chr11	12559154	12559451	+	0	NA	Intergenic	Intergenic	-136666	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
1-1318	chr6	19750905	19751202	+	0	NA	intron (NR_134651, intron 2 of 3)	intron (NR_134651, intron 2 of 3)	53937	NR_134649	100506885	Hs.346489	NR_134649	ENSG00000228412	LOC100506885	-	uncharacterized LOC100506885	ncRNA
1-391	chr5	142389849	142390146	+	0	NA	intron (NR_146198, intron 11 of 22)	MIR|SINE|MIR	-141522	NR_046680	100874239	Hs.570896	NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
1-3965	chr3	95118085	95118382	+	0	NA	Intergenic	MER68-int|LTR|ERVL	283804	NR_077228	100287639	Hs.591320	NR_077228	ENSG00000244681	MTHFD2P1	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1	pseudo
1-2675	chr1	117369938	117370235	+	0	NA	Intergenic	L2|LINE|L2	73034	NM_001328609	914	Hs.523500	NM_001767	ENSG00000116824	CD2	LFA-2|SRBC|T11	CD2 molecule	protein-coding
1-2176	chr8	71427303	71427600	+	0	NA	Intergenic	Intergenic	44082	NR_110653	101926892	Hs.367827	NR_110653	ENSG00000253967	LOC101926892	-	uncharacterized LOC101926892	ncRNA
1-3194	chr8	135618259	135618556	+	0	NA	intron (NM_001167583, intron 5 of 15)	L2c|LINE|L2	8093	NR_002438	594840	Hs.626298	NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
1-3237	chr11	27237828	27238125	+	0	NA	intron (NR_125767, intron 2 of 4)	intron (NR_125767, intron 2 of 4)	2339	NR_125768	103695435	Hs.196133	NR_125766	ENSG00000254560	BBOX1-AS1	-	BBOX1 antisense RNA 1	ncRNA
1-3823	chr20	33134501	33134798	+	0	NA	promoter-TSS (NM_181509)	promoter-TSS (NM_181509)	1	NM_181509	84557	Hs.632273	NM_032514	ENSG00000101460	MAP1LC3A	ATG8E|LC3|LC3A|MAP1ALC3|MAP1BLC3	microtubule associated protein 1 light chain 3 alpha	protein-coding
1-633	chr12	76353843	76354140	+	0	NA	Intergenic	Intergenic	71565	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
1-882	chr3	171476061	171476358	+	0	NA	intron (NM_001130081, intron 1 of 25)	intron (NM_001130081, intron 1 of 25)	52064	NM_001130081	5337	Hs.382865	NM_002662	ENSG00000075651	PLD1	CVDD	phospholipase D1	protein-coding
1-754	chr11	72532571	72532868	+	0	NA	exon (NM_033388, exon 4 of 18)	exon (NM_033388, exon 4 of 18)	7263	NM_033388	89849	Hs.653186	NM_033388	ENSG00000168010	ATG16L2	ATG16B|WDR80	autophagy related 16 like 2	protein-coding
1-498	chr12	32654914	32655211	+	0	NA	promoter-TSS (NM_001304483)	promoter-TSS (NM_001304483)	-35	NM_001370297	121512	Hs.117835	NM_139241	ENSG00000139132	FGD4	CMT4H|FRABP|ZFYVE6	FYVE, RhoGEF and PH domain containing 4	protein-coding
1-1979	chr12	78231586	78231883	+	0	NA	intron (NM_001024383, intron 1 of 39)	intron (NM_001024383, intron 1 of 39)	7060	NM_001024383	89795	Hs.655301	NM_014903	ENSG00000067798	NAV3	POMFIL1|STEERIN3|unc53H3	neuron navigator 3	protein-coding
1-1412	chr18	10006329	10006626	+	0	NA	Intergenic	Intergenic	92464	NM_003574	9218	Hs.165195	NM_003574	ENSG00000101558	VAPA	VAP-33|VAP-A|VAP33|hVAP-33	VAMP associated protein A	protein-coding
1-1706	chr10	29204994	29205291	+	0	NA	Intergenic	Intergenic	69805	NM_001278522	283080		NM_001278522		C10orf126	bA492M23.1	chromosome 10 open reading frame 126	protein-coding
1-4154	chr9	75083901	75084198	+	0	NA	Intergenic	Intergenic	-52668	NM_138691	117531	Hs.670211	NM_138691	ENSG00000165091	TMC1	DFNA36|DFNB11|DFNB7	transmembrane channel like 1	protein-coding
1-4546	chr15	40415121	40415418	+	0	NA	Intergenic	Intergenic	-14189	NM_001003940	90427	Hs.591104	NM_033503	ENSG00000104081	BMF	-	Bcl2 modifying factor	protein-coding
