PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1057	chr2	48423395	48423722	+	0	NA	Intergenic	Intergenic	-118263	NM_002158	3344	Hs.468478	NM_002158	ENSG00000170802	FOXN2	HTLF	forkhead box N2	protein-coding
1-1176	chr2	25479989	25480316	+	0	NA	intron (NR_135490, intron 6 of 23)	intron (NR_135490, intron 6 of 23)	-4968	NM_153759	1788	Hs.515840	NM_022552	ENSG00000119772	DNMT3A	DNMT3A2|M.HsaIIIA|TBRS	DNA methyltransferase 3 alpha	protein-coding
1-460	chr17	79049953	79050280	+	0	NA	intron (NM_001144888, intron 3 of 13)	intron (NM_001144888, intron 3 of 13)	41165	NM_017451	10458	Hs.128316	NM_006340	ENSG00000175866	BAIAP2	BAP2|FLAF3|IRSP53	BAI1 associated protein 2	protein-coding
1-161	chr13	114942681	114943008	+	0	NA	Intergenic	Intergenic	-44746	NM_007368	22821	Hs.593075	NM_007368	ENSG00000185989	RASA3	GAP1IP4BP|GAPIII	RAS p21 protein activator 3	protein-coding
1-26	chr11	474151	474478	+	0	NA	intron (NM_030783, intron 3 of 11)	intron (NM_030783, intron 3 of 11)	24035	NM_001329544	81490	Hs.12851	NM_030783	ENSG00000174915	PTDSS2	PSS2	phosphatidylserine synthase 2	protein-coding
1-1085	chr6	52894601	52894928	+	0	NA	intron (NM_016513, intron 6 of 14)	intron (NM_016513, intron 6 of 14)	31836	NM_016513	22858	Hs.417022	NM_014920	ENSG00000112144	ICK	ECO|EJM10|LCK2|MRK	intestinal cell kinase	protein-coding
1-642	chr17	71744714	71745041	+	0	NA	TTS (NR_027146)	TTS (NR_027146)	10884	NM_001278587	100134391	Hs.694655	NM_001278587		LOC100134391	-	uncharacterized LOC100134391	protein-coding
1-613	chr9	95491691	95492018	+	0	NA	intron (NM_001003800, intron 1 of 6)	intron (NM_001003800, intron 1 of 6)	35261	NM_015250	23299	Hs.436939	NM_015250	ENSG00000185963	BICD2	SMALED2|SMALED2A|SMALED2B|bA526D8.1	BICD cargo adaptor 2	protein-coding
1-603	chr5	134345004	134345331	+	0	NA	exon (NM_178019, exon 6 of 8)	exon (NM_178019, exon 6 of 8)	-23797	NR_161235	100996485		NR_161235		C5orf66	-	chromosome 5 open reading frame 66	ncRNA
1-1378	chr2	219283678	219284005	+	0	NA	promoter-TSS (NM_007127)	promoter-TSS (NM_007127)	-5	NM_007127	7429	Hs.654595	NM_007127	ENSG00000127831	VIL1	D2S1471|VIL	villin 1	protein-coding
1-1082	chr5	176080749	176081076	+	0	NA	intron (NM_001006616, intron 4 of 8)	L2a|LINE|L2	6427	NM_130465	26262	Hs.532129	NM_012171	ENSG00000048140	TSPAN17	FBX23|FBXO23|TM4SF17	tetraspanin 17	protein-coding
1-826	chr1	211849016	211849343	+	0	NA	promoter-TSS (NR_148994)	promoter-TSS (NR_148994)	75	NR_148994	91548	Hs.367839	NR_148994		LOC91548	-	uncharacterized LOC91548	ncRNA
1-541	chr6	34512878	34513205	+	0	NA	intron (NM_012391, intron 1 of 5)	intron (NM_012391, intron 1 of 5)	11065	NM_012391	25803	Hs.485158	NM_012391	ENSG00000124664	SPDEF	PDEF|bA375E1.3	SAM pointed domain containing ETS transcription factor	protein-coding
1-660	chr2	127822468	127822795	+	0	NA	intron (NM_004305, intron 6 of 14)	intron (NM_004305, intron 6 of 14)	17010	NM_001320634	274	Hs.193163	NM_004305	ENSG00000136717	BIN1	AMPH2|AMPHL|CNM2|SH3P9	bridging integrator 1	protein-coding
1-1211	chr7	29511097	29511424	+	0	NA	intron (NM_001293072, intron 6 of 12)	intron (NM_001293072, intron 6 of 12)	-8068	NM_001293075	1124	Hs.654611	NM_004067	ENSG00000106069	CHN2	ARHGAP3|BCH|CHN2-3|RHOGAP3	chimerin 2	protein-coding
1-534	chr2	206604298	206604625	+	0	NA	intron (NM_018534, intron 7 of 15)	intron (NM_018534, intron 7 of 15)	57236	NM_018534	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
1-1286	chr19	41048172	41048499	+	0	NA	intron (NM_025213, intron 3 of 9)	intron (NM_025213, intron 3 of 9)	11937	NM_025213	57731	Hs.32706	NM_020971	ENSG00000160460	SPTBN4	CMND|NEDHND|QV|SPNB4|SPTBN3	spectrin beta, non-erythrocytic 4	protein-coding
1-725	chr19	48014927	48015254	+	0	NA	intron (NM_003827, intron 1 of 10)	MIRb|SINE|MIR	3230	NR_038457	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
1-799	chr16	11886525	11886852	+	0	NA	intron (NM_014153, intron 1 of 22)	intron (NM_014153, intron 1 of 22)	4426	NM_014153	29066	Hs.371856	NM_014153	ENSG00000122299	ZC3H7A	HSPC055|ZC3H7|ZC3HDC7	zinc finger CCCH-type containing 7A	protein-coding
1-80	chr22	21401769	21402096	+	0	NA	intron (NM_001291006, intron 2 of 9)	intron (NM_001291006, intron 2 of 9)	1697	NR_027006	400891	Hs.291198	NM_001013675	ENSG00000187905	LRRC74B	-	leucine rich repeat containing 74B	protein-coding
1-1033	chr20	37329095	37329422	+	0	NA	Intergenic	Intergenic	-23871	NM_080552	140679	Hs.179080	NM_080552	ENSG00000101438	SLC32A1	VGAT|VIAAT	solute carrier family 32 member 1	protein-coding
1-752	chr2	150828598	150828925	+	0	NA	Intergenic	MER130|Unknown?|Unknown?	-113056	NR_145421	150596	Hs.470217	NM_153041	ENSG00000162947	LINC01931	-	long intergenic non-protein coding RNA 1931	ncRNA
1-814	chr20	56561951	56562278	+	0	NA	Intergenic	Intergenic	-16846	NR_147083	105376992	Hs.736662	NR_147083	ENSG00000275852	LINC01742	-	long intergenic non-protein coding RNA 1742	ncRNA
1-786	chr11	36280247	36280574	+	0	NA	Intergenic	Intergenic	30564	NM_001307932	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
1-474	chr1	156822307	156822634	+	0	NA	intron (NM_014215, intron 2 of 21)	intron (NM_014215, intron 2 of 21)	6439	NM_014215	3645	Hs.248138	NM_014215	ENSG00000027644	INSRR	IRR	insulin receptor related receptor	protein-coding
1-407	chr9	4662727	4663054	+	0	NA	promoter-TSS (NM_001353487)	promoter-TSS (NM_001353487)	596	NM_203453	403313	Hs.107510	NM_203453	ENSG00000205808	PLPP6	PDP1|PPAPDC2|PSDP|bA6J24.6	phospholipid phosphatase 6	protein-coding
1-1015	chr16	85675510	85675837	+	0	NA	intron (NM_014615, intron 2 of 15)	intron (NM_014615, intron 2 of 15)	28745	NM_014615	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
1-1112	chr11	111876880	111877207	+	0	NA	intron (NM_001037954, intron 18 of 20)	L1PA6|LINE|L1	-18495	NM_001931	1737	Hs.335551	NM_001931	ENSG00000150768	DLAT	DLTA|E2|PDC-E2|PDCE2	dihydrolipoamide S-acetyltransferase	protein-coding
1-583	chr1	41834031	41834358	+	0	NA	intron (NM_001291281, intron 1 of 2)	intron (NM_001291281, intron 1 of 2)	7088	NM_001291281	100132074	Hs.559677	NM_001291281		FOXO6	-	forkhead box O6	protein-coding
1-1331	chr8	121873724	121874051	+	0	NA	Intergenic	L1PBa|LINE|L1	-49601	NM_021021	6641	Hs.46701	NM_021021	ENSG00000172164	SNTB1	59-DAP|A1B|BSYN2|DAPA1B|SNT2|SNT2B1|TIP-43	syntrophin beta 1	protein-coding
1-341	chr5	60893935	60894262	+	0	NA	Intergenic	Intergenic	-39489	NR_161251	285668	Hs.683866	NR_126523	ENSG00000178722	C5orf64	-	chromosome 5 open reading frame 64	ncRNA
1-579	chr22	33276880	33277207	+	0	NA	intron (NM_133633, intron 3 of 11)	intron (NM_133633, intron 3 of 11)	80241	NM_000362	7078	Hs.644633	NM_000362	ENSG00000100234	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3	protein-coding
1-611	chr8	134224112	134224439	+	0	NA	intron (NM_001204870, intron 1 of 1)	intron (NM_001204870, intron 1 of 1)	20993	NR_037944	8840	Hs.492974	NM_003882	ENSG00000104415	CCN4	WISP1|WISP1-OT1|WISP1-UT1|WISP1c|WISP1i|WISP1tc	cellular communication network factor 4	protein-coding
1-471	chr22	45725500	45725827	+	0	NA	intron (NM_001104595, intron 5 of 9)	intron (NM_001104595, intron 5 of 9)	11339	NM_001349913	55007	Hs.265018	NM_017911	ENSG00000100376	FAM118A	C22orf8	family with sequence similarity 118 member A	protein-coding
1-902	chr17	81008680	81009007	+	0	NA	intron (NM_001320742, intron 1 of 13)	intron (NM_001320742, intron 1 of 13)	803	NR_135465	146712	Hs.607824	NM_001009905	ENSG00000175711	B3GNTL1	3-Gn-T8|B3GNT8|BGnT-8|beta-1|beta3Gn-T8|beta3GnTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	protein-coding
1-14	chr1	149224463	149224790	+	0	NA	promoter-TSS (NR_004400).5	promoter-TSS (NR_004400).5	-405	NR_004421	6060		NR_004421	ENSG00000207389	RNU1-4	HSD2|HSD5|HSD6|HSD7|RNU1|RNU1D2|RNU1E2|RNU1F1|RNU1G1|RNU1G2|U1B2|U1D2|U1E2|U1F	RNA, U1 small nuclear 4	snRNA
1-647	chr20	57626726	57627053	+	0	NA	Intergenic	Intergenic	-8988	NR_037929	100533975	Hs.656865	NR_037929		SLMO2-ATP5E	-	SLMO2-ATP5E readthrough	ncRNA
1-259	chr1	204000757	204001084	+	0	NA	TTS (NR_027902)	TTS (NR_027902)	9472	NR_027902	284573	Hs.406979	NR_027902	ENSG00000176754	LINC00303	C1orf157|NCRNA00303	long intergenic non-protein coding RNA 303	ncRNA
1-1002	chr15	39432182	39432509	+	0	NA	Intergenic	Intergenic	-110525	NR_144507	400360	Hs.376109	NM_207445	ENSG00000175746	C15orf54	-	chromosome 15 open reading frame 54 (putative)	ncRNA
1-673	chr5	73577058	73577385	+	0	NA	Intergenic	Intergenic	26929	NR_105009	102503429	Hs.519391	NR_105009	ENSG00000248942	LINC01335	-	long intergenic non-protein coding RNA 1335	ncRNA
1-946	chr6	34570510	34570837	+	0	NA	intron (NM_022758, intron 3 of 3)	intron (NM_022758, intron 3 of 3)	-46563	NM_001252294	25803	Hs.485158	NM_012391	ENSG00000124664	SPDEF	PDEF|bA375E1.3	SAM pointed domain containing ETS transcription factor	protein-coding
1-344	chr7	66161687	66162014	+	0	NA	intron (NM_001367745, intron 1 of 7)	intron (NM_001367745, intron 1 of 7)	14697	NM_001367730	27342	Hs.530053	NM_014504	ENSG00000154710	RABGEF1	RABEX5|RAP1|rabex-5	RAB guanine nucleotide exchange factor 1	protein-coding
1-1380	chr3	195589973	195590300	+	0	NA	TTS (NM_005781)	TTS (NM_005781)	-2861	NR_134939	101929697	Hs.551750	NR_134939		LINC01983	-	long intergenic non-protein coding RNA 1983	ncRNA
1-1391	chr16	51730137	51730464	+	0	NA	Intergenic	Intergenic	-66130	NR_110916	101927364	Hs.133120	NR_110916	ENSG00000260057	LINC01571	-	long intergenic non-protein coding RNA 1571	ncRNA
1-682	chr7	92842257	92842584	+	0	NA	intron (NM_001346642, intron 3 of 9)	intron (NM_001346642, intron 3 of 9)	6464	NM_001288810	253012	Hs.443169	NM_198151	ENSG00000188175	HEPACAM2	MIKI	HEPACAM family member 2	protein-coding
1-1309	chr1	192458933	192459260	+	0	NA	Intergenic	Intergenic	-85807	NM_002922	5996	Hs.75256	NM_002922	ENSG00000090104	RGS1	1R20|BL34|HEL-S-87|IER1|IR20	regulator of G protein signaling 1	protein-coding
1-1207	chr6	20691385	20691712	+	0	NA	intron (NM_017774, intron 5 of 15)	intron (NM_017774, intron 5 of 15)	156860	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
1-790	chr12	12420770	12421097	+	0	NA	promoter-TSS (NM_002336)	promoter-TSS (NM_002336)	-955	NM_002336	4040	Hs.584775	NM_002336	ENSG00000070018	LRP6	ADCAD2|STHAG7	LDL receptor related protein 6	protein-coding
1-436	chr3	72204567	72204894	+	0	NA	intron (NR_038221, intron 1 of 2)	intron (NR_038221, intron 1 of 2)	4322	NR_038221	201617	Hs.382623	NR_038221	ENSG00000243083	LINC00870	-	long intergenic non-protein coding RNA 870	ncRNA
1-555	chr10	81014807	81015134	+	0	NA	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-92255	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
1-952	chr7	2686746	2687073	+	0	NA	intron (NM_025250, intron 3 of 13)	CpG-23904	15289	NM_025250	80727	Hs.440899	NM_025250	ENSG00000136295	TTYH3	-	tweety family member 3	protein-coding
1-617	chr9	140205100	140205427	+	0	NA	intron (NM_017820, intron 19 of 21)	intron (NM_017820, intron 19 of 21)	-8540	NM_001004354	441478	Hs.535075	NM_001004354	ENSG00000198435	NRARP	-	NOTCH regulated ankyrin repeat protein	protein-coding
1-762	chr4	166319769	166320096	+	0	NA	intron (NM_001873, intron 1 of 8)	intron (NM_001873, intron 1 of 8)	12538	NR_030304	693163		NR_030304	ENSG00000207559	MIR578	MIRN578|hsa-mir-578	microRNA 578	ncRNA
1-336	chr22	50153983	50154310	+	0	NA	Intergenic	L1M2a1|LINE|L1	63833	NR_146335	23774	Hs.127950	NM_014577	ENSG00000100425	BRD1	BRL|BRPF1|BRPF2	bromodomain containing 1	protein-coding
1-1155	chr20	56016160	56016487	+	0	NA	Intergenic	Intergenic	-48211	NR_149006	100291105	Hs.638423	NR_149006	ENSG00000218018	LOC100291105	-	uncharacterized LOC100291105	ncRNA
1-36	chr1	55455151	55455478	+	0	NA	intron (NM_182532, intron 2 of 2)	intron (NM_182532, intron 2 of 2)	9013	NM_182532	199964	Hs.663950	NM_182532	ENSG00000143001	TMEM61	-	transmembrane protein 61	protein-coding
1-843	chr4	993016	993343	+	0	NA	promoter-TSS (NM_001363576)	promoter-TSS (NM_001363576)	-319	NM_001363576	3425	Hs.89560	NM_000203	ENSG00000127415	IDUA	IDA|MPS1	iduronidase alpha-L-	protein-coding
1-661	chr2	182545515	182545842	+	0	NA	promoter-TSS (NR_146176)	promoter-TSS (NR_146176)	-286	NR_146175	4760	Hs.574626	NM_002500	ENSG00000162992	NEUROD1	BETA2|BHF-1|MODY6|NEUROD|bHLHa3	neuronal differentiation 1	protein-coding
1-957	chr8	41467709	41468036	+	0	NA	intron (NM_178819, intron 4 of 12)	intron (NM_178819, intron 4 of 12)	31837	NM_001363197	137964	Hs.355753	NM_178819	ENSG00000158669	GPAT4	1-AGPAT 6|AGPAT6|LPAAT-zeta|LPAATZ|TSARG7	glycerol-3-phosphate acyltransferase 4	protein-coding
1-796	chr15	89727695	89728022	+	0	NA	intron (NM_007011, intron 10 of 14)	intron (NM_007011, intron 10 of 14)	36952	NM_000326	6017	Hs.1933	NM_000326	ENSG00000140522	RLBP1	CRALBP	retinaldehyde binding protein 1	protein-coding
1-143	chr8	52577501	52577828	+	0	NA	intron (NM_144651, intron 1 of 22)	intron (NM_144651, intron 1 of 22)	144341	NM_144651	137902	Hs.444882	NM_144651	ENSG00000147485	PXDNL	PMR1|PRM1|VPO2	peroxidasin like	protein-coding
1-78	chr8	143762847	143763174	+	0	NA	intron (NM_005672, intron 2 of 2)	(TCCA)n|Simple_repeat|Simple_repeat	1097	NM_005672	8000	Hs.652235	NM_005672	ENSG00000167653	PSCA	PRO232	prostate stem cell antigen	protein-coding
1-1360	chr17	59207300	59207627	+	0	NA	intron (NM_001353146, intron 23 of 25)	L3|LINE|CR1	237602	NR_136397	101927855	Hs.662123	NR_136397	ENSG00000267131	LOC101927855	-	uncharacterized LOC101927855	ncRNA
1-301	chr2	85985735	85986062	+	0	NA	intron (NM_032827, intron 1 of 2)	intron (NM_032827, intron 1 of 2)	4784	NM_032827	84913	Hs.135569	NM_032827	ENSG00000168874	ATOH8	HATH6|bHLHa21	atonal bHLH transcription factor 8	protein-coding
1-257	chr1	65079861	65080188	+	0	NA	intron (NM_020925, intron 4 of 26)	intron (NM_020925, intron 4 of 26)	34494	NR_039957	100616338		NR_039957	ENSG00000264470	MIR4794	-	microRNA 4794	ncRNA
1-650	chr1	3239691	3240018	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-131375	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding
1-88	chr15	40361464	40361791	+	0	NA	Intergenic	Intergenic	30115	NR_040061	100131089	Hs.386000	NR_040059	ENSG00000248508	SRP14-AS1	-	SRP14 antisense RNA1 (head to head)	ncRNA
1-85	chr11	10947068	10947395	+	0	NA	Intergenic	L2a|LINE|L2	67467	NR_034137	729013	Hs.726427	NR_034137	ENSG00000247271	ZBED5-AS1	-	ZBED5 antisense RNA 1	ncRNA
1-480	chr5	160056038	160056365	+	0	NA	intron (NM_001366657, intron 12 of 24)	intron (NM_001366657, intron 12 of 24)	56197	NM_001366658	23120	Hs.109358	NM_025153	ENSG00000118322	ATP10B	ATPVB	ATPase phospholipid transporting 10B (putative)	protein-coding
1-521	chr20	57987461	57987788	+	0	NA	Intergenic	Intergenic	111958	NM_207033	1908	Hs.1408	NM_000114	ENSG00000124205	EDN3	ET-3|ET3|HSCR4|PPET3|WS4B	endothelin 3	protein-coding
1-319	chr16	73236217	73236544	+	0	NA	Intergenic	Intergenic	-58034	NM_207385	388289	Hs.371893	NM_207385		C16orf47	-	chromosome 16 open reading frame 47	protein-coding
1-41	chr4	90166604	90166931	+	0	NA	3' UTR (NM_198281, exon 2 of 2)	3' UTR (NM_198281, exon 2 of 2)	62184	NM_198281	285513	Hs.100912	NM_198281	ENSG00000185477	GPRIN3	GRIN3	GPRIN family member 3	protein-coding
1-1251	chr13	53474553	53474880	+	0	NA	Intergenic	Intergenic	-51941	NM_032949	5100	Hs.19492	NM_002590	ENSG00000136099	PCDH8	ARCADLIN|PAPC	protocadherin 8	protein-coding
1-1262	chr15	74243429	74243756	+	0	NA	intron (NM_005576, intron 6 of 6)	intron (NM_005576, intron 6 of 6)	-23003	NR_040068	100287616	Hs.599785	NR_040066	ENSG00000261801	LOXL1-AS1	-	LOXL1 antisense RNA 1	ncRNA
1-1342	chr11	114154799	114155126	+	0	NA	Intergenic	Intergenic	-11573	NM_006169	4837	Hs.503911	NM_006169	ENSG00000166741	NNMT	-	nicotinamide N-methyltransferase	protein-coding
1-482	chr6	33596402	33596729	+	0	NA	intron (NM_002224, intron 1 of 57)	intron (NM_002224, intron 1 of 57)	4957	NR_134628	101929188	Hs.658327	NR_134628		LOC101929188	-	uncharacterized LOC101929188	ncRNA
1-82	chr5	171212779	171213106	+	0	NA	promoter-TSS (NM_001289970)	promoter-TSS (NM_001289970)	66	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
1-669	chr3	158708992	158709319	+	0	NA	Intergenic	L1PA7|LINE|L1	-77886	NM_001197113	100505385	Hs.134665	NM_001197113	ENSG00000283154	IQCJ-SCHIP1	-	IQCJ-SCHIP1 readthrough	protein-coding
1-848	chr5	72561469	72561796	+	0	NA	Intergenic	Intergenic	-63844	NR_134291	340090	Hs.434311	NR_134291		LOC340090	-	uncharacterized LOC340090	ncRNA
1-759	chr3	38307846	38308173	+	0	NA	intron (NM_004256, intron 1 of 9)	intron (NM_004256, intron 1 of 9)	706	NM_004256	9390	Hs.225941	NM_004256	ENSG00000172940	SLC22A13	OAT10|OCTL1|OCTL3|ORCTL-3|ORCTL3	solute carrier family 22 member 13	protein-coding
1-1223	chr9	93239816	93240143	+	0	NA	intron (NR_034157, intron 5 of 5)	intron (NR_034157, intron 5 of 5)	-44208	NR_109795	101927873	Hs.598482	NR_109795	ENSG00000231107	LINC01508	-	long intergenic non-protein coding RNA 1508	ncRNA
1-1130	chr16	24857566	24857893	+	0	NA	non-coding (NR_147935, exon 2 of 17)	non-coding (NR_147935, exon 2 of 17)	177	NM_052944	115584	Hs.164118	NM_052944	ENSG00000158865	SLC5A11	KST1|RKST1|SGLT6|SMIT2	solute carrier family 5 member 11	protein-coding
1-479	chr3	142338016	142338343	+	0	NA	intron (NM_001145319, intron 1 of 15)	intron (NM_001145319, intron 1 of 15)	-4087	NM_002670	5357	Hs.203637	NM_002670	ENSG00000120756	PLS1	-	plastin 1	protein-coding
1-156	chr2	85536251	85536578	+	0	NA	exon (NM_031283, exon 12 of 12)	exon (NM_031283, exon 12 of 12)	18698	NM_001206844	10618	Hs.593382	NM_006464	ENSG00000152291	TGOLN2	TGN38|TGN46|TGN48|TGN51|TTGN2	trans-golgi network protein 2	protein-coding
1-511	chr17	7146271	7146598	+	0	NA	promoter-TSS (NM_007278)	promoter-TSS (NM_007278)	-666	NM_007278	11337	Hs.647421	NM_007278	ENSG00000170296	GABARAP	ATG8A|GABARAP-a|MM46	GABA type A receptor-associated protein	protein-coding
1-1139	chr17	36880773	36881100	+	0	NA	exon (NM_005937, exon 19 of 20)	exon (NM_005937, exon 19 of 20)	4992	NR_039879	100616153		NR_039879	ENSG00000273627	MIR4726	-	microRNA 4726	ncRNA
1-392	chr1	159793116	159793443	+	0	NA	Intergenic	Intergenic	-3384	NM_001330741	56833	Hs.438683	NM_020125	ENSG00000158714	SLAMF8	BLAME|CD353|SBBI42	SLAM family member 8	protein-coding
1-178	chr4	604313	604640	+	0	NA	Intergenic	MLT1H|LTR|ERVL-MaLR	-14887	NM_000283	5158	Hs.623810	NM_000283	ENSG00000133256	PDE6B	CSNB3|CSNBAD2|GMP-PDEbeta|PDEB|RP40|rd1	phosphodiesterase 6B	protein-coding
1-872	chr10	134579131	134579458	+	0	NA	exon (NM_001321042, exon 9 of 13)	exon (NM_001321042, exon 9 of 13)	20357	NM_177400	84504	Hs.134013	NM_177400	ENSG00000148826	NKX6-2	GTX|NKX6.2|NKX6B|SPAX8	NK6 homeobox 2	protein-coding
1-1289	chr19	59025887	59026214	+	0	NA	intron (NM_032792, intron 2 of 2)	intron (NM_032792, intron 2 of 2)	-2618	NM_001321196	10998	Hs.292177	NM_012254	ENSG00000083807	SLC27A5	ACSB|ACSVL6|BACS|BAL|FACVL3|FATP-5|FATP5|VLACSR|VLCS-H2|VLCSH2	solute carrier family 27 member 5	protein-coding
1-1157	chr21	46156601	46156928	+	0	NA	Intergenic	Intergenic	-25277	NM_144991	54084	Hs.660703	NM_144991	ENSG00000175894	TSPEAR	C21orf29|DFNB98|ECTD14|TSP-EAR	thrombospondin type laminin G domain and EAR repeats	protein-coding
1-1273	chr17	39183125	39183452	+	0	NA	exon (NM_031957, exon 1 of 1)	exon (NM_031957, exon 1 of 1)	172	NM_031957	83895	Hs.534499	NM_031957	ENSG00000221852	KRTAP1-5	KAP1.5|KRTAP1.5	keratin associated protein 1-5	protein-coding
1-1189	chr3	50233035	50233362	+	0	NA	3' UTR (NM_144499, exon 9 of 9)	3' UTR (NM_144499, exon 9 of 9)	4155	NM_144499	2779	Hs.517978	NM_000172	ENSG00000114349	GNAT1	CSNB1G|CSNBAD3|GBT1|GNATR	G protein subunit alpha transducin 1	protein-coding
1-933	chr3	42067132	42067459	+	0	NA	Intergenic	Intergenic	-61397	NM_001349245	22906	Hs.535711	NM_014965	ENSG00000182606	TRAK1	EIEE68|MILT1|OIP106	trafficking kinesin protein 1	protein-coding
1-1372	chrX	40239161	40239488	+	0	NA	Intergenic	L2|LINE|L2	117154	NR_110386	101927476	Hs.522607	NR_110386	ENSG00000236393	LOC101927476	-	uncharacterized LOC101927476	ncRNA
1-979	chr11	2691179	2691506	+	0	NA	non-coding (NR_002728, exon 1 of 1)	non-coding (NR_002728, exon 1 of 1)	29886	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
1-1353	chr16	68554555	68554882	+	0	NA	Intergenic	Intergenic	-18398	NM_001305204	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
1-817	chr1	3524162	3524489	+	0	NA	intron (NM_001409, intron 1 of 36)	intron (NM_001409, intron 1 of 36)	3747	NM_001409	1953	Hs.593645	NM_001409	ENSG00000162591	MEGF6	EGFL3	multiple EGF like domains 6	protein-coding
1-745	chr1	203607278	203607605	+	0	NA	intron (NM_001365784, intron 1 of 20)	intron (NM_001365784, intron 1 of 20)	10376	NM_001365784	493	Hs.343522	NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
1-1239	chr12	22198959	22199286	+	0	NA	promoter-TSS (NM_018686)	promoter-TSS (NM_018686)	14	NR_135117	55907	Hs.311346	NM_018686	ENSG00000111726	CMAS	CSS	cytidine monophosphate N-acetylneuraminic acid synthetase	protein-coding
1-1104	chr10	93884956	93885283	+	0	NA	intron (NM_014912, intron 6 of 9)	intron (NM_014912, intron 6 of 9)	117917	NM_001178137	22849	Hs.131683	NM_014912	ENSG00000107864	CPEB3	-	cytoplasmic polyadenylation element binding protein 3	protein-coding
1-1136	chr17	29821942	29822269	+	0	NA	intron (NM_001346748, intron 1 of 12)	intron (NM_001346748, intron 1 of 12)	6979	NM_001346747	84440	Hs.406788	NM_032932	ENSG00000131242	RAB11FIP4	FIP4-Rab11|RAB11-FIP4	RAB11 family interacting protein 4	protein-coding
