PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-6112	chr17	53426017	53426470	+	0	NA	Intergenic	Intergenic	72953	NM_012329	23531	Hs.463483	NM_012329	ENSG00000108960	MMD	MMA|MMD1|PAQR11	monocyte to macrophage differentiation associated	protein-coding
1-3516	chr17	7760666	7761119	+	0	NA	promoter-TSS (NM_144607)	promoter-TSS (NM_144607)	317	NM_001320924	84316	Hs.565094	NM_032356	ENSG00000183011	NAA38	LSMD1|MAK31|PFAAP2	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	protein-coding
1-544	chr3	194573541	194573994	+	0	NA	Intergenic	Intergenic	-84329	NR_146990	105374293		NR_146990	ENSG00000230401	LINC01972	-	long intergenic non-protein coding RNA 1972	ncRNA
1-3128	chr11	19572089	19572542	+	0	NA	intron (NM_001111018, intron 1 of 37)	MER66B|LTR|ERV1	-24542	NR_039706	100616118		NR_039706	ENSG00000265210	MIR4486	-	microRNA 4486	ncRNA
1-1390	chr1	109656367	109656820	+	0	NA	promoter-TSS (NM_001284352)	promoter-TSS (NM_001284352)	-140	NR_158762	127003	Hs.446962	NM_001122961	ENSG00000179902	C1orf194	-	chromosome 1 open reading frame 194	protein-coding
1-6158	chrX	3699356	3699809	+	0	NA	Intergenic	Intergenic	62353	NR_034031	389906	Hs.636199	NM_001045547		LOC389906	-	zinc finger protein 839 pseudogene	pseudo
1-3553	chr1	26458920	26459373	+	0	NA	Intergenic	MER66B|LTR|ERV1	20831	NM_152835	149420	Hs.468801	NM_152835	ENSG00000175087	PDIK1L	CLIK1L|STK35L2	PDLIM1 interacting kinase 1 like	protein-coding
1-1413	chr8	72273866	72274319	+	0	NA	5' UTR (NM_000503, exon 1 of 18)	5' UTR (NM_000503, exon 1 of 18)	212	NM_001288575	2138	Hs.444971	NM_000503	ENSG00000104313	EYA1	BOP|BOR|BOS1|OFC1	EYA transcriptional coactivator and phosphatase 1	protein-coding
1-4706	chr8	90868896	90869349	+	0	NA	Intergenic	MamRep1879|DNA|hAT?	-44974	NM_004337	734	Hs.436445	NM_004337	ENSG00000164823	OSGIN2	C8orf1|hT41	oxidative stress induced growth inhibitor family member 2	protein-coding
1-2236	chr9	108210033	108210486	+	0	NA	promoter-TSS (NM_031919)	promoter-TSS (NM_031919)	-56	NM_001287191	83856	Hs.136901	NM_031919	ENSG00000106701	FSD1L	CCDC10|CSDUFD1|FSD1CL|FSD1NL|MIR1	fibronectin type III and SPRY domain containing 1 like	protein-coding
1-4586	chr1	40407042	40407495	+	0	NA	Intergenic	Intergenic	-13516	NM_001287808	84879	Hs.655177	NM_032793	ENSG00000168389	MFSD2A	MCPH15|MFSD2|NLS1	major facilitator superfamily domain containing 2A	protein-coding
1-3885	chr9	92493217	92493670	+	0	NA	Intergenic	Intergenic	-238255	NR_109791	101927847	Hs.584312	NR_109791		LOC101927847	-	uncharacterized LOC101927847	ncRNA
1-3906	chr11	11126847	11127300	+	0	NA	Intergenic	MER66B|LTR|ERV1	247309	NR_034137	729013	Hs.726427	NR_034137	ENSG00000247271	ZBED5-AS1	-	ZBED5 antisense RNA 1	ncRNA
1-2146	chr7	99006429	99006882	+	0	NA	promoter-TSS (NM_001370407)	promoter-TSS (NM_001370407)	63	NM_003910	8896	Hs.380233	NM_003910	ENSG00000106245	BUD31	Cwc14|EDG-2|EDG2|G10|YCR063W|fSAP17	BUD31 homolog	protein-coding
1-5353	chr8	143808797	143809250	+	0	NA	promoter-TSS (NR_038925)	promoter-TSS (NR_038925)	382	NR_156431	51337	Hs.368402	NM_016647	ENSG00000130193	THEM6	C8orf55|DSCD75	thioesterase superfamily member 6	protein-coding
1-4405	chr8	42592086	42592539	+	0	NA	3' UTR (NM_000749, exon 6 of 6)	3' UTR (NM_000749, exon 6 of 6)	31617	NM_001199279	8973	Hs.103128	NM_004198	ENSG00000147434	CHRNA6	CHNRA6	cholinergic receptor nicotinic alpha 6 subunit	protein-coding
1-1461	chr6	140602338	140602791	+	0	NA	Intergenic	L1MC2|LINE|L1	76175	NR_037441	100500879		NR_037441	ENSG00000263514	MIR3668	-	microRNA 3668	ncRNA
1-1369	chr12	54426227	54426680	+	0	NA	promoter-TSS (NM_018953)	promoter-TSS (NM_018953)	-379	NM_018953	3222	Hs.549040	NM_018953	ENSG00000172789	HOXC5	CP11|HOX3|HOX3D	homeobox C5	protein-coding
1-162	chr16	48560649	48561102	+	0	NA	Intergenic	Intergenic	83216	NM_153029	9683	Hs.511839	NM_153029	ENSG00000102921	N4BP1	-	NEDD4 binding protein 1	protein-coding
1-1789	chr1	23028668	23029121	+	0	NA	Intergenic	Intergenic	-8437	NM_004442	2048	Hs.380705	NM_004442	ENSG00000133216	EPHB2	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5	EPH receptor B2	protein-coding
1-409	chr7	75575421	75575874	+	0	NA	intron (NM_001367562, intron 2 of 16)	AluJb|SINE|Alu	2546	NR_002955	677801	Hs.689708	NR_002955	ENSG00000201643	SNORA14A	ACA14a	small nucleolar RNA, H/ACA box 14A	snoRNA
1-6225	chr13	76476857	76477310	+	0	NA	Intergenic	Intergenic	26061	NR_126373	104326189	Hs.671216	NR_126373	ENSG00000223458	LMO7DN-IT1	C13orf45-IT1|TCONS_00021569	LMO7DN intronic transcript 1	ncRNA
1-5601	chr5	35797160	35797613	+	0	NA	intron (NM_024867, intron 33 of 36)	intron (NM_024867, intron 33 of 36)	-59607	NM_002185	3575	Hs.591742	NM_002185	ENSG00000168685	IL7R	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	interleukin 7 receptor	protein-coding
1-5407	chr12	63278912	63279365	+	0	NA	intron (NM_020700, intron 1 of 9)	MLT1E|LTR|ERVL-MaLR	49792	NM_020700	57460	Hs.435479	NM_020700	ENSG00000111110	PPM1H	ARHCL1|NERPP-2C|URCC2	protein phosphatase, Mg2+/Mn2+ dependent 1H	protein-coding
1-2247	chr12	6802013	6802466	+	0	NA	TTS (NM_153685)	TTS (NM_153685)	-3501	NM_001135734	171017	Hs.103315	NM_133476	ENSG00000126746	ZNF384	CAGH1|CAGH1A|CIZ|ERDA2|NMP4|NP|TNRC1	zinc finger protein 384	protein-coding
1-3985	chr19	41312296	41312749	+	0	NA	non-coding (NR_037791, exon 9 of 12)	non-coding (NR_037791, exon 9 of 12)	4483	NR_144551	171523	Hs.656713	NR_144551	ENSG00000233622	CYP2T1P	CYP2T2P	cytochrome P450 family 2 subfamily T member 1, pseudogene	pseudo
1-913	chr13	34731158	34731611	+	0	NA	Intergenic	Intergenic	-190796	NR_146542	105370158		NR_146542		LINC02343	-	long intergenic non-protein coding RNA 2343	ncRNA
1-4569	chrX	67930642	67931095	+	0	NA	intron (NM_001142504, intron 1 of 13)	intron (NM_001142504, intron 1 of 13)	17387	NM_001142504	9754	Hs.95140	NM_014725	ENSG00000130052	STARD8	ARHGAP38|DLC3|STARTGAP3	StAR related lipid transfer domain containing 8	protein-coding
1-4835	chr19	40037196	40037649	+	0	NA	Intergenic	MER66B|LTR|ERV1	-6621	NM_153232	163126	Hs.18949	NM_153232	ENSG00000176396	EID2	CRI2|EID-2	EP300 interacting inhibitor of differentiation 2	protein-coding
1-2124	chr3	124743009	124743462	+	0	NA	intron (NM_020733, intron 3 of 16)	L4|LINE|RTE	31606	NM_020733	57493	Hs.477420	NM_020733	ENSG00000173706	HEG1	HEG|MST112|MSTP112	heart development protein with EGF like domains 1	protein-coding
1-3006	chr17	48179484	48179937	+	0	NA	intron (NM_001199899, intron 2 of 10)	intron (NM_001199899, intron 2 of 10)	6651	NM_001199899	5164	Hs.256667	NM_002611	ENSG00000005882	PDK2	PDHK2|PDKII	pyruvate dehydrogenase kinase 2	protein-coding
1-2512	chrX	96475399	96475852	+	0	NA	intron (NM_007309, intron 22 of 26)	intron (NM_007309, intron 22 of 26)	336718	NM_013347	29935	Hs.659349	NM_013347	ENSG00000204086	RPA4	HSU24186	replication protein A4	protein-coding
1-4979	chr6	134395393	134395846	+	0	NA	Intergenic	MamGypLTR1b|LTR|Gypsy	-21857	NM_145176	154091	Hs.486508	NM_145176	ENSG00000146411	SLC2A12	GLUT12|GLUT8	solute carrier family 2 member 12	protein-coding
1-5073	chr12	59159803	59160256	+	0	NA	intron (NR_120452, intron 1 of 7)	intron (NR_120452, intron 1 of 7)	15469	NR_120452	101927653	Hs.130744	NR_120452	ENSG00000257259	LINC02388	-	long intergenic non-protein coding RNA 2388	ncRNA
1-129	chr4	13486098	13486551	+	0	NA	promoter-TSS (NM_001159601)	promoter-TSS (NM_001159601)	-335	NM_001159601	9364	Hs.656060	NM_004249	ENSG00000157869	RAB28	CORD18	RAB28, member RAS oncogene family	protein-coding
1-432	chr11	73694232	73694685	+	0	NA	promoter-TSS (NM_003355)	promoter-TSS (NM_003355)	-569	NM_003355	7351	Hs.80658	NM_003355	ENSG00000175567	UCP2	BMIQ4|SLC25A8|UCPH	uncoupling protein 2	protein-coding
1-3435	chr6	166796400	166796853	+	0	NA	promoter-TSS (NR_073093)	promoter-TSS (NR_073093)	-125	NR_073093	51660	Hs.172755	NM_016098	ENSG00000060762	MPC1	BRP44L|CGI-129|MPYCD|SLC54A1	mitochondrial pyruvate carrier 1	protein-coding
1-2573	chr10	98392784	98393237	+	0	NA	intron (NM_152309, intron 8 of 16)	LTR87|LTR|ERVL?	-46241	NM_020123	56889	Hs.500674	NM_020123	ENSG00000077147	TM9SF3	EP70-P-iso|SMBP	transmembrane 9 superfamily member 3	protein-coding
1-4041	chr1	226315474	226315927	+	0	NA	Intergenic	Intergenic	-20004	NR_146443	107985353	Hs.735455	NR_146443	ENSG00000234478	ACBD3-AS1	-	ACBD3 antisense RNA 1	ncRNA
1-5682	chr11	11409050	11409503	+	0	NA	intron (NM_001363464, intron 3 of 9)	MER5B|DNA|hAT-Charlie	-34479	NM_001256686	283106	Hs.654675	NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
1-2924	chr2	236423438	236423891	+	0	NA	non-coding (NR_146582, exon 1 of 1)	non-coding (NR_146582, exon 1 of 1)	2901	NR_146582	27321		NR_146582		TNRC17	CAGL234	trinucleotide repeat containing 17	ncRNA
1-6202	chr6	139154817	139155270	+	0	NA	intron (NM_001077706, intron 4 of 21)	intron (NM_001077706, intron 4 of 21)	37795	NM_001195037	345930	Hs.660603	NM_001077706	ENSG00000203734	ECT2L	ARHGEF32|C6orf91|FBXO49|LFDH|dJ509I19.2|dJ509I19.3|dJ509I19.5	epithelial cell transforming 2 like	protein-coding
1-505	chr15	73661040	73661493	+	0	NA	promoter-TSS (NM_005477)	promoter-TSS (NM_005477)	33	NM_005477	10021	Hs.86941	NM_005477	ENSG00000138622	HCN4	SSS2	hyperpolarization activated cyclic nucleotide gated potassium channel 4	protein-coding
1-2437	chr7	32502597	32503050	+	0	NA	Intergenic	Intergenic	-4717	NR_038454	100130673	Hs.609282	NR_038454		LOC100130673	-	phosphoribosyl pyrophosphate synthetase 2 pseudogene	pseudo
1-5107	chr15	78501519	78501972	+	0	NA	intron (NM_001199377, intron 1 of 13)	intron (NM_001199377, intron 1 of 13)	25162	NM_015162	23205	Hs.655760	NM_015162	ENSG00000103740	ACSBG1	BG|BG1|BGM|GR-LACS|LPD	acyl-CoA synthetase bubblegum family member 1	protein-coding
1-104	chr22	40363364	40363817	+	0	NA	intron (NM_004810, intron 5 of 7)	intron (NM_004810, intron 5 of 7)	20769	NM_001291825	9402	Hs.517499	NM_004810	ENSG00000100351	GRAP2	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	GRB2 related adaptor protein 2	protein-coding
1-5649	chr8	61373444	61373897	+	0	NA	Intergenic	Intergenic	-47293	NR_103854	100505532	Hs.720321	NR_103854		LINC01301	-	long intergenic non-protein coding RNA 1301	ncRNA
1-1022	chr2	44000938	44001391	+	0	NA	promoter-TSS (NM_001193464)	promoter-TSS (NM_001193464)	-14	NM_015522	51626	Hs.371597	NM_015522	ENSG00000138036	DYNC2LI1	CGI-60|D2LIC|LIC3	dynein cytoplasmic 2 light intermediate chain 1	protein-coding
1-5148	chr19	21688119	21688572	+	0	NA	promoter-TSS (NR_144525)	promoter-TSS (NR_144525)	-59	NM_001346913	353088	Hs.572567	NM_001001415	ENSG00000197013	ZNF429	-	zinc finger protein 429	protein-coding
1-2224	chr6	167724761	167725214	+	0	NA	intron (NM_018974, intron 7 of 7)	intron (NM_018974, intron 7 of 7)	-13587	NM_031949	83887	Hs.520554	NM_031949	ENSG00000120440	TTLL2	C6orf104|NYD-TSPG|dJ366N23.3	tubulin tyrosine ligase like 2	protein-coding
1-5431	chr14	73942888	73943341	+	0	NA	Intergenic	Intergenic	-12766	NR_135251	101928143	Hs.654609	NR_135251	ENSG00000284930	LOC101928143	-	uncharacterized LOC101928143	ncRNA
1-565	chr6	159420588	159421041	+	0	NA	exon (NM_031924, exon 1 of 8)	exon (NM_031924, exon 1 of 8)	405	NM_001346418	83861	Hs.154628	NM_031924	ENSG00000130363	RSPH3	CILD32|RSHL2|RSP3|dJ111C20.1	radial spoke head 3	protein-coding
1-3982	chr19	13753577	13754030	+	0	NA	Intergenic	MIRc|SINE|MIR	-88763	NM_001320564	81576	Hs.24998	NM_030818	ENSG00000104957	CCDC130	-	coiled-coil domain containing 130	protein-coding
1-4473	chr12	101460297	101460750	+	0	NA	intron (NM_178826, intron 13 of 26)	intron (NM_178826, intron 13 of 26)	143493	NM_145913	160728	Hs.444536	NM_145913	ENSG00000256870	SLC5A8	AIT|SMCT|SMCT1	solute carrier family 5 member 8	protein-coding
1-4923	chr3	63799924	63800377	+	0	NA	Intergenic	L3|LINE|CR1	-4825	NM_001355236	132200	Hs.506386	NM_001355236	ENSG00000163632	C3orf49	-	chromosome 3 open reading frame 49	protein-coding
1-3794	chr2	135388090	135388543	+	0	NA	intron (NM_030923, intron 2 of 7)	intron (NM_030923, intron 2 of 7)	88254	NM_030923	81615	Hs.369471	NM_030923	ENSG00000152128	TMEM163	DC29|SV31	transmembrane protein 163	protein-coding
1-834	chr9	21995188	21995641	+	0	NA	promoter-TSS (NM_058195)	promoter-TSS (NM_058195)	-91	NM_001363763	1029	Hs.512599	NM_000077	ENSG00000147889	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	cyclin dependent kinase inhibitor 2A	protein-coding
1-215	chr9	4334344	4334797	+	0	NA	Intergenic	Intergenic	-34502	NM_001042413	169792	Hs.162125	NM_152629	ENSG00000107249	GLIS3	NDH|ZNF515	GLIS family zinc finger 3	protein-coding
1-2604	chr16	67840776	67841229	+	0	NA	promoter-TSS (NM_001320240)	promoter-TSS (NM_001320240)	210	NM_001288992	55815	Hs.632212	NM_018430	ENSG00000102904	TSNAXIP1	TXI1	translin associated factor X interacting protein 1	protein-coding
1-5765	chr18	24155174	24155627	+	0	NA	intron (NM_001258222, intron 1 of 4)	intron (NM_001258222, intron 1 of 4)	16099	NR_107024	102466874		NR_107024	ENSG00000276221	MIR8057	hsa-mir-8057	microRNA 8057	ncRNA
1-4949	chr4	187714013	187714466	+	0	NA	Intergenic	MER66C|LTR|ERV1	-69229	NM_005245	2195	Hs.481371	NM_005245	ENSG00000083857	FAT1	CDHF7|CDHR8|FAT|ME5|hFat1	FAT atypical cadherin 1	protein-coding
1-5025	chr10	80298707	80299160	+	0	NA	Intergenic	Intergenic	271834	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
1-74	chr3	39148956	39149409	+	0	NA	promoter-TSS (NM_001366899)	promoter-TSS (NM_001366899)	11	NR_159495	199223	Hs.443935	NM_145755	ENSG00000168026	TTC21A	IFT139A|SPGF37|STI2	tetratricopeptide repeat domain 21A	protein-coding
1-5792	chr22	41252854	41253307	+	0	NA	promoter-TSS (NM_001278589)	promoter-TSS (NM_001278589)	-5	NM_001204827	63929	Hs.529163	NM_022098	ENSG00000196236	XPNPEP3	APP3|ICP55|NPHPL1	X-prolyl aminopeptidase 3	protein-coding
1-894	chr3	129033597	129034050	+	0	NA	3' UTR (NM_006026, exon 1 of 1)	3' UTR (NM_006026, exon 1 of 1)	-1291	NR_026991	339942	Hs.450096	NM_001025468		H1FX-AS1	C3orf47	H1FX antisense RNA 1	ncRNA
1-1414	chr9	33024942	33025395	+	0	NA	promoter-TSS (NM_001539)	promoter-TSS (NM_001539)	-33	NM_001314039	3301	Hs.445203	NM_001539	ENSG00000086061	DNAJA1	DJ-2|DjA1|HDJ2|HSDJ|HSJ-2|HSJ2|HSPF4|NEDD7|hDJ-2	DnaJ heat shock protein family (Hsp40) member A1	protein-coding
1-3774	chr1	183156013	183156466	+	0	NA	intron (NM_005562, intron 1 of 22)	intron (NM_005562, intron 1 of 22)	840	NM_005562	3918	Hs.591484	NM_005562	ENSG00000058085	LAMC2	B2T|BM600|CSF|EBR2|EBR2A|LAMB2T|LAMNB2	laminin subunit gamma 2	protein-coding
1-5194	chr1	64078640	64079093	+	0	NA	intron (NM_001172819, intron 1 of 10)	intron (NM_001172819, intron 1 of 10)	-10021	NM_001172818	5236	Hs.1869	NM_002633	ENSG00000079739	PGM1	CDG1T|GSD14	phosphoglucomutase 1	protein-coding
1-5264	chr3	177551081	177551534	+	0	NA	intron (NR_110826, intron 1 of 2)	intron (NR_110826, intron 1 of 2)	16654	NR_110826	102724550	Hs.570526	NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
1-3207	chr1	180138103	180138556	+	0	NA	intron (NM_001004128, intron 2 of 12)	intron (NM_001004128, intron 2 of 12)	14325	NM_002826	5768	Hs.719176	NM_002826	ENSG00000116260	QSOX1	Q6|QSCN6	quiescin sulfhydryl oxidase 1	protein-coding
1-1633	chr6	38607508	38607961	+	0	NA	promoter-TSS (NM_052893)	promoter-TSS (NM_052893)	-29	NM_052893	114781	Hs.603858	NM_052893	ENSG00000183826	BTBD9	dJ322I12.1	BTB domain containing 9	protein-coding
1-666	chr9	139735731	139736184	+	0	NA	promoter-TSS (NM_001080482)	promoter-TSS (NM_001080482)	-973	NM_001080482	389813		NM_001080482	ENSG00000232434	AJM1	C9orf172|ajm-1	apical junction component 1 homolog	protein-coding
1-2297	chr1	174923165	174923618	+	0	NA	promoter-TSS (NR_121196)	promoter-TSS (NR_121196)	7	NR_121196	101928696	Hs.666680	NR_121196	ENSG00000229531	LOC101928696	-	uncharacterized LOC101928696	ncRNA
1-486	chr18	52764954	52765407	+	0	NA	Intergenic	Intergenic	26357	NR_110743	101927229	Hs.638474	NR_110743	ENSG00000267013	LINC01929	-	long intergenic non-protein coding RNA 1929	ncRNA
1-5294	chr6	1637153	1637606	+	0	NA	intron (NM_001253846, intron 9 of 10)	intron (NM_001253846, intron 9 of 10)	27229	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
1-3790	chr2	74780379	74780832	+	0	NA	promoter-TSS (NM_001318869)	promoter-TSS (NM_001318869)	464	NM_032603	84695	Hs.469045	NM_032603	ENSG00000115318	LOXL3	LOXL	lysyl oxidase like 3	protein-coding
1-3281	chr9	93697450	93697903	+	0	NA	Intergenic	Intergenic	107974	NM_001174167	6850	Hs.371720	NM_003177	ENSG00000165025	SYK	p72-Syk	spleen associated tyrosine kinase	protein-coding
1-4532	chr19	8454939	8455392	+	0	NA	promoter-TSS (NR_049795)	promoter-TSS (NR_049795)	-79	NM_004218	9230	Hs.558403	NM_004218	ENSG00000185236	RAB11B	H-YPT3|NDAGSCW	RAB11B, member RAS oncogene family	protein-coding
1-2080	chr17	75136795	75137248	+	0	NA	promoter-TSS (NM_003003)	promoter-TSS (NM_003003)	-30	NM_003003	6397	Hs.464184	NM_003003	ENSG00000129657	SEC14L1	PRELID4A|SEC14L	SEC14 like lipid binding 1	protein-coding
1-5665	chr9	124480203	124480656	+	0	NA	intron (NM_032552, intron 3 of 16)	intron (NM_032552, intron 3 of 16)	-24635	NM_138709	153090	Hs.522378	NM_032552	ENSG00000136848	DAB2IP	AF9Q34|AIP-1|AIP1|DIP1/2	DAB2 interacting protein	protein-coding
1-347	chr3	14326882	14327335	+	0	NA	Intergenic	Intergenic	66960	NR_110135	101927565	Hs.306905	NR_110135	ENSG00000251576	LINC01267	-	long intergenic non-protein coding RNA 1267	ncRNA
1-5726	chr15	68203819	68204272	+	0	NA	Intergenic	L1MB5|LINE|L1	-71662	NR_104080	101954271		NR_104080	ENSG00000207507	RNU6-9	U6-9	RNA, U6 small nuclear 9	snRNA
1-1349	chr5	134073314	134073767	+	0	NA	promoter-TSS (NM_001745)	promoter-TSS (NM_001745)	-698	NM_001745	819	Hs.529846	NM_001745	ENSG00000164615	CAMLG	CAML|GET2	calcium modulating ligand	protein-coding
1-5009	chr9	36499499	36499952	+	0	NA	Intergenic	Intergenic	-73134	NM_001256690	9833	Hs.184339	NM_014791	ENSG00000165304	MELK	HPK38	maternal embryonic leucine zipper kinase	protein-coding
1-2594	chr15	46024920	46025373	+	0	NA	intron (NR_135680, intron 1 of 4)	intron (NR_135680, intron 1 of 4)	27753	NR_135680	105370802	Hs.447522	NR_135680	ENSG00000259200	LOC105370802	-	uncharacterized LOC105370802	ncRNA
1-1492	chr1	110679478	110679931	+	0	NA	Intergenic	Intergenic	-13412	NM_001010898	388662	Hs.128382	NM_001010898	ENSG00000197106	SLC6A17	MRT48|NTT4	solute carrier family 6 member 17	protein-coding
1-4783	chr15	81118011	81118464	+	0	NA	intron (NM_018689, intron 1 of 28)	intron (NM_018689, intron 1 of 28)	16177	NR_030393	693132		NR_030393	ENSG00000208003	MIR549A	MIR549|MIRN549|hsa-mir-549|hsa-mir-549a|mir-549a	microRNA 549a	ncRNA
1-180	chr1	165567215	165567668	+	0	NA	Intergenic	CpG	-16049	NR_026744	400794	Hs.374847	NR_026744	ENSG00000237463	LRRC52-AS1	-	LRRC52 antisense RNA 1	ncRNA
1-5805	chr1	33169641	33170094	+	0	NA	Intergenic	Intergenic	-1496	NM_030786	81493	Hs.712631	NM_030786	ENSG00000162520	SYNC	SYNC1|SYNCOILIN	syncoilin, intermediate filament protein	protein-coding
1-2752	chrX	77359287	77359740	+	0	NA	promoter-TSS (NM_000291)	promoter-TSS (NM_000291)	-232	NM_000291	5230	Hs.78771	NM_000291	ENSG00000102144	PGK1	HEL-S-68p|MIG10|PGKA	phosphoglycerate kinase 1	protein-coding
1-828	chr6	56215623	56216076	+	0	NA	intron (NM_001318752, intron 1 of 28)	L2b|LINE|L2	43077	NM_001318752	81578	Hs.47629	NM_030820	ENSG00000124749	COL21A1	COLA1L|FP633	collagen type XXI alpha 1 chain	protein-coding
1-4614	chr2	113341733	113342186	+	0	NA	promoter-TSS (NM_001304354)	promoter-TSS (NM_001304354)	-65	NR_163920								
1-991	chr22	25833259	25833712	+	0	NA	Intergenic	Intergenic	-10569	NR_033733	1416	Hs.571835	NR_033733	ENSG00000100058	CRYBB2P1	CRYB2B	crystallin beta B2 pseudogene 1	pseudo
1-567	chr12	121123988	121124441	+	0	NA	promoter-TSS (NM_014730)	promoter-TSS (NM_014730)	-738	NM_014730	9761	Hs.744910	NM_014730	ENSG00000110917	MLEC	KIAA0152	malectin	protein-coding
1-3120	chr10	43916418	43916871	+	0	NA	Intergenic	Intergenic	-3756	NR_145740	109616985		NR_145740	ENSG00000221400	SNORD3J	-	small nucleolar RNA, C/D box 3J	snoRNA
1-4450	chr11	64646065	64646518	+	0	NA	promoter-TSS (NM_006795)	promoter-TSS (NM_006795)	-198	NM_006795	10938	Hs.523774	NM_006795	ENSG00000110047	EHD1	H-PAST|HPAST1|PAST|PAST1	EH domain containing 1	protein-coding
1-6018	chr10	116640138	116640591	+	0	NA	intron (NM_001135051, intron 16 of 16)	AluSx|SINE|Alu	-57590	NM_139169	142940	Hs.21187	NM_139169	ENSG00000165832	TRUB1	PUS4	TruB pseudouridine synthase family member 1	protein-coding
1-5017	chr9	131313251	131313704	+	0	NA	intron (NR_031672, intron 2 of 2).3	intron (NR_031672, intron 2 of 2).3	-1389	NM_001363759	6709	Hs.372331	NM_003127	ENSG00000197694	SPTAN1	EIEE5|NEAS|SPTA2	spectrin alpha, non-erythrocytic 1	protein-coding
1-2354	chr14	60386593	60387046	+	0	NA	intron (NM_001355272, intron 1 of 32)	intron (NM_001355272, intron 1 of 32)	388	NR_075071	341883	Hs.666245	NM_198499	ENSG00000131951	LRRC9	-	leucine rich repeat containing 9	protein-coding
1-1972	chr9	85675418	85675871	+	0	NA	intron (NM_152573, intron 1 of 16)	intron (NM_152573, intron 1 of 16)	2413	NM_152573	158158	Hs.129136	NM_152573	ENSG00000165105	RASEF	RAB45	RAS and EF-hand domain containing	protein-coding
1-6137	chr20	12142350	12142803	+	0	NA	Intergenic	MLT1I|LTR|ERVL-MaLR	244035	NM_014962	22903	Hs.709366	NM_014962	ENSG00000132640	BTBD3	dJ742J24.1	BTB domain containing 3	protein-coding
1-4265	chr18	11747673	11748126	+	0	NA	intron (NM_182978, intron 1 of 11)	intron (NM_182978, intron 1 of 11)	-3572	NM_001261443	2774	Hs.136295	NM_002071	ENSG00000141404	GNAL	DYT25	G protein subunit alpha L	protein-coding
1-570	chr19	9142970	9143423	+	0	NA	Intergenic	Intergenic	-51178	NM_024690	94025	Hs.432676	NM_024690	ENSG00000181143	MUC16	CA125	mucin 16, cell surface associated	protein-coding
1-1702	chr11	117648502	117648955	+	0	NA	intron (NM_001367905, intron 2 of 6)	intron (NM_001367905, intron 2 of 6)	19203	NM_001367904	57453	Hs.659513	NM_020693	ENSG00000177103	DSCAML1	DSCAM2	DS cell adhesion molecule like 1	protein-coding
1-1168	chr18	35021067	35021520	+	0	NA	intron (NM_001353710, intron 2 of 12)	intron (NM_001353710, intron 2 of 12)	25174	NR_132967	106635546		NR_132967		SNORA111	-	small nucleolar RNA, H/ACA box 111	snoRNA
1-5774	chr20	16245214	16245667	+	0	NA	Intergenic	Intergenic	-278913	NR_130924	613266	Hs.309149	NR_130924		LOC613266	-	uncharacterized LOC613266	ncRNA
