PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3307	chr20	47084555	47084785	+	0	NA	Intergenic	Intergenic	96016	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
1-7920	chr3	38307764	38307995	+	0	NA	intron (NM_004256, intron 1 of 9)	intron (NM_004256, intron 1 of 9)	576	NM_004256	9390	Hs.225941	NM_004256	ENSG00000172940	SLC22A13	OAT10|OCTL1|OCTL3|ORCTL-3|ORCTL3	solute carrier family 22 member 13	protein-coding
1-4198	chr20	31568516	31568747	+	0	NA	Intergenic	Intergenic	23608	NM_080675	140732	Hs.375186	NM_080675	ENSG00000167098	SUN5	SPAG4L|SPGF16|TSARG4|dJ726C3.1	Sad1 and UNC84 domain containing 5	protein-coding
1-9701	chr5	171530335	171530566	+	0	NA	intron (NM_005990, intron 7 of 18)	intron (NM_005990, intron 7 of 18)	84778	NM_005990	6793	Hs.744005	NM_005990	ENSG00000072786	STK10	LOK|PRO2729	serine/threonine kinase 10	protein-coding
1-1651	chr2	182545484	182545715	+	0	NA	promoter-TSS (NR_146176)	promoter-TSS (NR_146176)	-207	NM_002500	4760	Hs.574626	NM_002500	ENSG00000162992	NEUROD1	BETA2|BHF-1|MODY6|NEUROD|bHLHa3	neuronal differentiation 1	protein-coding
1-1745	chr3	95469043	95469274	+	0	NA	Intergenic	Intergenic	-67121	NR_077228	100287639	Hs.591320	NR_077228	ENSG00000244681	MTHFD2P1	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1	pseudo
1-8246	chr13	100459043	100459257	+	0	NA	intron (NR_120421, intron 1 of 4)	intron (NR_120421, intron 1 of 4)	-77895	NR_046525	101927465	Hs.130690	NR_046525		CLYBL-AS1	-	CLYBL antisense RNA 1	ncRNA
1-4216	chr2	122712952	122713182	+	0	NA	Intergenic	MLT1M|LTR|ERVL-MaLR	199840	NM_004622	7247	Hs.75066	NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
1-10702	chr13	104504483	104504714	+	0	NA	Intergenic	Intergenic	427048	NR_126374	104326190	Hs.334381	NR_126374	ENSG00000234551	LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
1-3271	chr7	118130917	118131148	+	0	NA	Intergenic	Intergenic	266274	NM_019644	56311	Hs.729340	NM_019644	ENSG00000106013	ANKRD7	TSA806	ankyrin repeat domain 7	protein-coding
1-3885	chr17	2768491	2768722	+	0	NA	intron (NM_001100398, intron 2 of 23)	intron (NM_001100398, intron 2 of 23)	68874	NM_001100398	23108	Hs.499659	NM_015085	ENSG00000132359	RAP1GAP2	GARNL4|RAP1GA3	RAP1 GTPase activating protein 2	protein-coding
1-4644	chr4	186347281	186347512	+	0	NA	promoter-TSS (NM_018359)	promoter-TSS (NM_018359)	-257	NR_144317	55325	Hs.713548	NM_018359	ENSG00000109775	UFSP2	BHD|C4orf20|SEMDDR	UFM1 specific peptidase 2	protein-coding
1-1119	chr8	20206724	20206950	+	0	NA	Intergenic	Intergenic	-45363	NM_021020	11178	Hs.521432	NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
1-7019	chr8	144120333	144120564	+	0	NA	promoter-TSS (NR_149322)	promoter-TSS (NR_149322)	-178	NR_126399	286122	Hs.660382	NR_126398	ENSG00000177335	C8orf31	-	chromosome 8 open reading frame 31	ncRNA
1-894	chr3	134684839	134685070	+	0	NA	intron (NM_004441, intron 3 of 15)	intron (NM_004441, intron 3 of 15)	170852	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
1-723	chr11	6069515	6069746	+	0	NA	Intergenic	Intergenic	-20659	NM_001001917	120796	Hs.553543	NM_001001917	ENSG00000180934	OR56A1	OR11-75	olfactory receptor family 56 subfamily A member 1	protein-coding
1-3588	chr1	218471791	218472022	+	0	NA	intron (NM_016052, intron 1 of 4)	intron (NM_016052, intron 1 of 4)	13271	NM_016052	51018	Hs.660109	NM_016052	ENSG00000067533	RRP15	CGI-115|KIAA0507	ribosomal RNA processing 15 homolog	protein-coding
1-2966	chr6	95499030	95499261	+	0	NA	Intergenic	Intergenic	526182	NR_047502	101927288	Hs.616643	NR_047502	ENSG00000261366	MANEA-DT	MANEA-AS1	MANEA divergent transcript	ncRNA
1-6886	chr17	43213159	43213390	+	0	NA	5' UTR (NM_001321352, exon 3 of 12)	5' UTR (NM_001321352, exon 3 of 12)	220	NM_001135705	79777	Hs.110298	NM_024722	ENSG00000181513	ACBD4	HMFT0700	acyl-CoA binding domain containing 4	protein-coding
1-6945	chr1	235263487	235263718	+	0	NA	Intergenic	Intergenic	27650	NR_002956	677802	Hs.744743	NR_002956	ENSG00000207181	SNORA14B	ACA14b	small nucleolar RNA, H/ACA box 14B	snoRNA
1-2394	chr18	7464237	7464468	+	0	NA	Intergenic	Intergenic	-3348	NM_001364581	112577592		NM_001364581		LOC112577592	-	uncharacterized LOC112577592	protein-coding
1-6073	chr2	86244979	86245210	+	0	NA	Intergenic	Intergenic	87915	NM_015425	25885	Hs.531818	NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|RPA1|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
1-2537	chr19	8311515	8311746	+	0	NA	intron (NM_024552, intron 2 of 11)	L1ME2z|LINE|L1	37376	NM_024552	79603	Hs.515111	NM_024552	ENSG00000090661	CERS4	LASS4|Trh1	ceramide synthase 4	protein-coding
1-8470	chr20	39801925	39802156	+	0	NA	intron (NM_002660, intron 27 of 31)	intron (NM_002660, intron 27 of 31)	4377	NR_106931	102466912		NR_106931	ENSG00000276169	MIR6871	hsa-mir-6871	microRNA 6871	ncRNA
1-949	chr11	75351032	75351263	+	0	NA	intron (NM_033063, intron 1 of 3)	intron (NM_033063, intron 1 of 3)	28332	NM_207577	4135	Hs.585540	NM_033063	ENSG00000171533	MAP6	MAP6-N|MTAP6|N-STOP|STOP	microtubule associated protein 6	protein-coding
1-9379	chr1	9448906	9449137	+	0	NA	Intergenic	Intergenic	39954	NR_104623	100506022	Hs.131775	NR_104622	ENSG00000284693	LINC02606	-	long intergenic non-protein coding RNA 2606	ncRNA
1-9242	chr6	139724681	139724912	+	0	NA	Intergenic	Intergenic	-29011	NM_006079	10370	Hs.82071	NM_006079	ENSG00000164442	CITED2	ASD8|MRG-1|MRG1|P35SRJ|VSD2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	protein-coding
1-2054	chr18	42299529	42299760	+	0	NA	intron (NM_001130110, intron 2 of 3)	intron (NM_001130110, intron 2 of 3)	38791	NM_015559	26040	Hs.435458	NM_015559	ENSG00000152217	SETBP1	MRD29|SEB	SET binding protein 1	protein-coding
1-10313	chr6	47428775	47428975	+	0	NA	Intergenic	Intergenic	-16650	NM_012120	23607	Hs.485518	NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
1-8255	chr15	88162615	88162827	+	0	NA	Intergenic	Intergenic	42561	NR_026869	145978	Hs.350808	NM_152454	ENSG00000259527	LINC00052	NCRNA00052|TMEM83	long intergenic non-protein coding RNA 52	ncRNA
1-92	chr4	100457586	100457817	+	0	NA	intron (NM_032149, intron 5 of 8)	L1PA10|LINE|L1	25523	NM_032149	84103	Hs.97501	NM_032149	ENSG00000138813	C4orf17	-	chromosome 4 open reading frame 17	protein-coding
1-4909	chr8	73535620	73535851	+	0	NA	intron (NM_004770, intron 2 of 2)	intron (NM_004770, intron 2 of 2)	86275	NM_004770	9312	Hs.661102	NM_004770	ENSG00000182674	KCNB2	KV2.2	potassium voltage-gated channel subfamily B member 2	protein-coding
1-3406	chr12	54653300	54653531	+	0	NA	promoter-TSS (NM_001127321)	promoter-TSS (NM_001127321)	-45	NM_001127321	23468	Hs.349283	NM_012117	ENSG00000094916	CBX5	HEL25|HP1|HP1A	chromobox 5	protein-coding
1-3909	chr1	112278601	112278832	+	0	NA	intron (NM_198926, intron 1 of 1)	intron (NM_198926, intron 1 of 1)	3301	NM_019099	55924	Hs.193406	NM_019099	ENSG00000197852	INKA2	C1orf183|FAM212B	inka box actin regulator 2	protein-coding
1-5347	chr15	82044897	82045128	+	0	NA	Intergenic	Intergenic	293347	NM_032246	84206	Hs.104744	NM_032246	ENSG00000183496	MEX3B	MEX-3B|RKHD3|RNF195	mex-3 RNA binding family member B	protein-coding
1-6031	chr15	58578138	58578369	+	0	NA	Intergenic	Intergenic	-145937	NM_000236	3990	Hs.654472	NM_000236	ENSG00000166035	LIPC	HDLCQ12|HL|HTGL|LIPH	lipase C, hepatic type	protein-coding
1-6699	chr14	102293747	102293978	+	0	NA	intron (NM_001161725, intron 3 of 15)	intron (NM_001161725, intron 3 of 15)	17662	NM_001352912	5527	Hs.368264	NM_002719	ENSG00000078304	PPP2R5C	B56G|B56gamma|PR61G	protein phosphatase 2 regulatory subunit B'gamma	protein-coding
1-4111	chr21	33559364	33559574	+	0	NA	Intergenic	Intergenic	91891	NM_018944	54069	Hs.190518	NM_018944	ENSG00000159055	MIS18A	B28|C21orf45|C21orf46|FASP1|MIS18alpha|hMis18alpha	MIS18 kinetochore protein A	protein-coding
1-1829	chr5	17402005	17402234	+	0	NA	Intergenic	Intergenic	-2009	NR_134275	101929544	Hs.23725	NR_134273	ENSG00000248455	LINC02217	-	long intergenic non-protein coding RNA 2217	ncRNA
1-4557	chr7	156459454	156459615	+	0	NA	intron (NM_001308273, intron 7 of 8)	intron (NM_001308273, intron 7 of 8)	23039	NM_001308274	140545	Hs.446194	NM_030936	ENSG00000105982	RNF32	FKSG33|HSD15|LMBR2	ring finger protein 32	protein-coding
1-11014	chr19	40005475	40005701	+	0	NA	promoter-TSS (NM_182704)	promoter-TSS (NM_182704)	-165	NM_182704	348303	Hs.319284	NM_182704	ENSG00000186838	SELENOV	SELV	selenoprotein V	protein-coding
1-3210	chr13	95655750	95655964	+	0	NA	Intergenic	Intergenic	43562	NR_047487	100861544	Hs.48706	NR_047487	ENSG00000260962	LINC00557	-	long intergenic non-protein coding RNA 557	ncRNA
1-3965	chr11	44976683	44976914	+	0	NA	Intergenic	Intergenic	-3941	NM_001318386	9537	Hs.554791	NM_006034	ENSG00000175274	TP53I11	PIG11	tumor protein p53 inducible protein 11	protein-coding
1-6100	chr5	92249180	92249406	+	0	NA	Intergenic	AluSz6|SINE|Alu	657756	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
1-2436	chr12	4144130	4144361	+	0	NA	Intergenic	L3b|LINE|CR1	-161631	NM_001286521	57097	Hs.657268	NM_020367	ENSG00000111224	PARP11	ARTD11|C12orf6|MIB006	poly(ADP-ribose) polymerase family member 11	protein-coding
1-2448	chr1	20775382	20775613	+	0	NA	Intergenic	Intergenic	-20210	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
1-1062	chr2	180652407	180652638	+	0	NA	intron (NR_148056, intron 1 of 9)	intron (NR_148056, intron 1 of 9)	-41285	NM_001352815	151126	Hs.655005	NM_152520	ENSG00000144331	ZNF385B	ZNF533	zinc finger protein 385B	protein-coding
1-2579	chr12	119696046	119696244	+	0	NA	Intergenic	Intergenic	45040	NR_024246	144742	Hs.524782	NR_024246	ENSG00000281196	LINC00934	-	long intergenic non-protein coding RNA 934	ncRNA
1-10126	chr5	123964902	123965133	+	0	NA	Intergenic	Intergenic	115788	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
1-3298	chr17	49124250	49124324	+	0	NA	promoter-TSS (NM_001251971)	promoter-TSS (NM_001251971)	-48	NM_001251971	9043	Hs.463439	NM_003971	ENSG00000008294	SPAG9	CT89|HLC-6|HLC4|HLC6|JIP-4|JIP4|JLP|PHET|PIG6	sperm associated antigen 9	protein-coding
1-3353	chr16	88169897	88170128	+	0	NA	Intergenic	Intergenic	-35421	NR_120310	400553	Hs.592071	NR_120310	ENSG00000205037	LOC400553	-	uncharacterized LOC400553	ncRNA
1-8935	chr1	53841909	53842140	+	0	NA	Intergenic	Intergenic	48119	NR_131923	105378732	Hs.118609	NR_131923	ENSG00000225675	LINC01771	-	long intergenic non-protein coding RNA 1771	ncRNA
1-10463	chr3	8921350	8921521	+	0	NA	3' UTR (NM_020165, exon 13 of 13)	3' UTR (NM_020165, exon 13 of 13)	83721	NM_020165	56852	Hs.375684	NM_020165	ENSG00000070950	RAD18	RNF73	RAD18 E3 ubiquitin protein ligase	protein-coding
1-4157	chr8	62461360	62461591	+	0	NA	intron (NM_001164750, intron 20 of 24)	intron (NM_001164750, intron 20 of 24)	140895	NM_020164	444	Hs.332422	NM_004318	ENSG00000198363	ASPH	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	aspartate beta-hydroxylase	protein-coding
1-6592	chr3	13343434	13343665	+	0	NA	Intergenic	MER53|DNA|hAT	118273	NM_024923	23225	Hs.475525	NM_024923	ENSG00000132182	NUP210	GP210|POM210	nucleoporin 210	protein-coding
1-1230	chr5	150475083	150475314	+	0	NA	Intergenic	Intergenic	-7952	NM_001252390	10318	Hs.355141	NM_006058	ENSG00000145901	TNIP1	ABIN-1|NAF1|VAN|nip40-1	TNFAIP3 interacting protein 1	protein-coding
1-7224	chr11	131663833	131664006	+	0	NA	intron (NM_001352007, intron 2 of 8)	intron (NM_001352007, intron 2 of 8)	-115899	NR_147849	50863	Hs.504352	NM_016522	ENSG00000182667	NTM	CEPU-1|HNT|IGLON2|NTRI	neurotrimin	protein-coding
1-10330	chr8	33455247	33455478	+	0	NA	promoter-TSS (NM_001305116)	promoter-TSS (NM_001305116)	-47	NM_001305116	78986	Hs.8719	NM_024025	ENSG00000133878	DUSP26	DSP-4|DUSP24|LDP-4|LDP4|MKP-8|MKP8|NATA1|NEAP|SKRP3	dual specificity phosphatase 26	protein-coding
1-1978	chr8	139288404	139288635	+	0	NA	intron (NM_015912, intron 3 of 19)	intron (NM_015912, intron 3 of 19)	-192731	NR_161374	401478	Hs.654931	NM_001354876		LOC401478	-	uncharacterized LOC401478	ncRNA
1-2685	chr11	57221062	57221293	+	0	NA	Intergenic	Intergenic	-6824	NM_178570	349667	Hs.502618	NM_178570	ENSG00000186907	RTN4RL2	NGRH1|NgR2	reticulon 4 receptor like 2	protein-coding
1-6246	chr2	201086166	201086397	+	0	NA	Intergenic	HAL1|LINE|L1	-84321	NM_015535	26010	Hs.120323	NM_015535	ENSG00000196141	SPATS2L	DNAPTP6|SGNP	spermatogenesis associated serine rich 2 like	protein-coding
1-7554	chr6	14817577	14817808	+	0	NA	Intergenic	Intergenic	-428608	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
1-6	chr12	76231579	76231810	+	0	NA	Intergenic	Intergenic	193862	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
1-2693	chr13	55007760	55007991	+	0	NA	Intergenic	Intergenic	-121692	NR_031628	100302187		NR_031628	ENSG00000283126	MIR1297	MIRN1297|hsa-mir-1297|mir-1297	microRNA 1297	ncRNA
1-3035	chr6	170605052	170605280	+	0	NA	intron (NM_001286380, intron 1 of 10)	CpG	757	NM_001286380	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	family with sequence similarity 120B	protein-coding
1-10700	chr13	40661791	40662022	+	0	NA	Intergenic	Intergenic	-94040	NR_046870	100874127	Hs.578028	NR_046870	ENSG00000230710	LINC00332	NCRNA00332	long intergenic non-protein coding RNA 332	ncRNA
1-8384	chr8	62045661	62045846	+	0	NA	Intergenic	L2c|LINE|L2	-154776	NM_173519	157807	Hs.591874	NM_173519	ENSG00000177182	CLVS1	C6orf212L|CRALBPL|RLBP1L1	clavesin 1	protein-coding
1-10350	chr9	132221524	132221755	+	0	NA	Intergenic	Intergenic	-29300	NR_038955	100506190	Hs.529860	NR_038955		LINC00963	MetaLnc9	long intergenic non-protein coding RNA 963	ncRNA
1-1411	chr19	55850082	55850313	+	0	NA	Intergenic	Tigger3c|DNA|TcMar-Tigger	-1047	NM_032701	84787	Hs.590982	NM_032701	ENSG00000133247	KMT5C	SUV420H2|Suv4-20h2	lysine methyltransferase 5C	protein-coding
1-2101	chr2	224817063	224817267	+	0	NA	Intergenic	LTR33A|LTR|ERVL	-5015	NM_022915	65080	Hs.203559	NM_022915	ENSG00000135900	MRPL44	COXPD16|L44MT|MRP-L44	mitochondrial ribosomal protein L44	protein-coding
1-7835	chr14	68020397	68020628	+	0	NA	intron (NM_020715, intron 2 of 28)	intron (NM_020715, intron 2 of 28)	-19945	NM_001348546	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
1-6090	chr3	184223052	184223283	+	0	NA	Intergenic	Intergenic	51539	NR_046593	100874079	Hs.574899	NR_046593	ENSG00000230215	LINC01840	EIF2B5-AS1	long intergenic non-protein coding RNA 1840	ncRNA
1-10135	chr6	70934988	70935184	+	0	NA	intron (NM_078485, intron 31 of 31)	intron (NM_078485, intron 31 of 31)	57814	NM_078485	1297	Hs.590892	NM_001851	ENSG00000112280	COL9A1	DJ149L1.1.2|EDM6|MED|STL4	collagen type IX alpha 1 chain	protein-coding
1-201	chr1	18488003	18488234	+	0	NA	intron (NM_032880, intron 1 of 9)	intron (NM_032880, intron 1 of 9)	53826	NM_032880	84966	Hs.212511	NM_032880	ENSG00000117154	IGSF21	-	immunoglobin superfamily member 21	protein-coding
1-722	chr6	149375029	149375260	+	0	NA	intron (NM_005715, intron 7 of 7)	intron (NM_005715, intron 7 of 7)	-21347	NR_134599	105378047	Hs.659484	NR_134599		LOC105378047	-	uncharacterized LOC105378047	ncRNA
1-1041	chr2	129171270	129171501	+	0	NA	Intergenic	Intergenic	-94943	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
1-2532	chr16	23291117	23291348	+	0	NA	Intergenic	Intergenic	-22391	NM_000336	6338	Hs.414614	NM_000336	ENSG00000168447	SCNN1B	BESC1|ENaCb|ENaCbeta|LIDLS1|SCNEB	sodium channel epithelial 1 beta subunit	protein-coding
1-8981	chr3	140828783	140829014	+	0	NA	intron (NM_080862, intron 2 of 2)	intron (NM_080862, intron 2 of 2)	58709	NM_080862	92369	Hs.655112	NM_080862	ENSG00000175093	SPSB4	SSB-4|SSB4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
1-2640	chr15	99329525	99329756	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	1985	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
1-5730	chr11	128759652	128759856	+	0	NA	Intergenic	Intergenic	-1497	NM_000890	3762	Hs.444595	NM_000890	ENSG00000120457	KCNJ5	CIR|GIRK4|KATP1|KIR3.4|LQT13	potassium voltage-gated channel subfamily J member 5	protein-coding
1-242	chr5	87168866	87169097	+	0	NA	Intergenic	Intergenic	211122	NR_149089	111082994	Hs.544037	NR_149089		LINC02488	CTD-2316B1	long intergenic non-protein coding RNA 2488	ncRNA
1-5654	chr3	2004449	2004680	+	0	NA	Intergenic	Intergenic	-135923	NM_001350095	152330	Hs.298705	NM_175607	ENSG00000144619	CNTN4	AXCAM|BIG-2	contactin 4	protein-coding
1-5439	chr12	68600243	68600474	+	0	NA	intron (NM_018402, intron 3 of 4)	Tigger2|DNA|TcMar-Tigger	19232	NM_018402	55801	Hs.272350	NM_018402	ENSG00000111536	IL26	AK155|IL-26	interleukin 26	protein-coding
1-2389	chr14	24549002	24549201	+	0	NA	3' UTR (NM_001354770, exon 3 of 3)	3' UTR (NM_001354770, exon 3 of 3)	8330	NM_006032	9362	Hs.6132	NM_006032	ENSG00000100884	CPNE6	-	copine 6	protein-coding
1-6042	chr17	41534210	41534390	+	0	NA	Intergenic	Intergenic	12126	NR_031751	100313779		NR_031751	ENSG00000284344	MIR2117	-	microRNA 2117	ncRNA
1-3149	chr17	75370668	75370899	+	0	NA	intron (NM_001113493, intron 1 of 10)	intron (NM_001113493, intron 1 of 10)	1364	NM_001113493	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
1-4930	chr12	65175270	65175501	+	0	NA	intron (NM_001330188, intron 1 of 13)	intron (NM_001330188, intron 1 of 13)	850	NM_001330188	23329	Hs.192492	NM_015279	ENSG00000111490	TBC1D30	-	TBC1 domain family member 30	protein-coding
1-4048	chr7	93489347	93489578	+	0	NA	Intergenic	L1MDa|LINE|L1	30603	NM_001271003	7980	Hs.438231	NM_006528	ENSG00000105825	TFPI2	PP5|REF1|TFPI-2	tissue factor pathway inhibitor 2	protein-coding
1-5595	chr16	73332597	73332717	+	0	NA	Intergenic	Intergenic	-88047	NR_038234	100506172	Hs.434230	NR_038234	ENSG00000258779	LINC01568	-	long intergenic non-protein coding RNA 1568	ncRNA
1-8938	chr1	95587993	95588224	+	0	NA	intron (NM_001199691, intron 1 of 7)	intron (NM_001199691, intron 1 of 7)	4629	NM_001199691	100527978	Hs.483512	NM_001199691	ENSG00000271092	TLCD4-RWDD3	TMEM56-RWDD3	TLCD4-RWDD3 readthrough	protein-coding
1-7596	chr10	75361484	75361715	+	0	NA	intron (NM_001350995, intron 1 of 21)	intron (NM_001350995, intron 1 of 21)	-10499	NM_001320441	159195	Hs.657355	NM_152586	ENSG00000166348	USP54	C10orf29|bA137L10.3|bA137L10.4	ubiquitin specific peptidase 54	protein-coding
1-8017	chr11	2400033	2400248	+	0	NA	promoter-TSS (NR_108080)	promoter-TSS (NR_108080)	-918	NR_108080	101927682	Hs.675920	NR_108080	ENSG00000238184	CD81-AS1	-	CD81 antisense RNA 1	ncRNA
1-1777	chr20	24363516	24363747	+	0	NA	Intergenic	Intergenic	-86204	NM_001323606	79953	Hs.124638	NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
1-2622	chr6	14317440	14317671	+	0	NA	Intergenic	Intergenic	-31870	NR_108096	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
1-4775	chr5	68627708	68627904	+	0	NA	intron (NM_001297697, intron 1 of 12)	intron (NM_001297697, intron 1 of 12)	814	NM_001297696	202243	Hs.654850	NM_176816	ENSG00000183323	CCDC125	KENAE	coiled-coil domain containing 125	protein-coding
1-1199	chr19	56039873	56040104	+	0	NA	TTS (NM_001370096)	TTS (NM_001370096)	8512	NM_001370096	646643	Hs.532676	NM_001101401	ENSG00000187550	SBK2	SGK069	SH3 domain binding kinase family member 2	protein-coding
1-1581	chr2	107814127	107814358	+	0	NA	intron (NR_049853, intron 2 of 3)	intron (NR_049853, intron 2 of 3)	151739	NR_049853	100847045		NR_049853	ENSG00000283146	MIR548AU	-	microRNA 548au	ncRNA
1-3455	chr5	75471752	75471983	+	0	NA	intron (NM_001297716, intron 2 of 12)	intron (NM_001297716, intron 2 of 12)	92659	NM_001297716	22987	Hs.646953	NM_014979	ENSG00000122012	SV2C	-	synaptic vesicle glycoprotein 2C	protein-coding
1-4249	chr9	112686199	112686430	+	0	NA	intron (NM_007203, intron 4 of 10)	intron (NM_007203, intron 4 of 10)	-124564	NM_001004065	445815	Hs.591908	NM_007203	ENSG00000157654	PALM2-AKAP2	AKAP-2|AKAP-KL|AKAP2|AKAPKL|MISP2|PALM2|PRKA2	PALM2-AKAP2 fusion	protein-coding
1-7569	chr7	116754024	116754255	+	0	NA	intron (NR_109981, intron 4 of 4)	intron (NR_109981, intron 4 of 4)	-23304	NR_109980	93654	Hs.628891	NR_002331	ENSG00000226367	ST7-AS2	ST7AS2|ST7OT2	ST7 antisense RNA 2	ncRNA
1-1476	chr11	62321974	62322205	+	0	NA	Intergenic	Intergenic	5689	NR_037427	100500804		NR_037427	ENSG00000284135	MIR3654	-	microRNA 3654	ncRNA
1-4533	chr4	74465045	74465276	+	0	NA	intron (NM_001270391, intron 2 of 9)	intron (NM_001270391, intron 2 of 9)	20993	NM_177532	166824	Hs.529677	NM_177532	ENSG00000169435	RASSF6	-	Ras association domain family member 6	protein-coding
1-2651	chr1	201500970	201501201	+	0	NA	TTS (NR_160748)	TTS (NR_160748)	12053	NR_026667	376693	Hs.605989	NR_026667		RPS10P7	RPS10_2_147	ribosomal protein S10 pseudogene 7	pseudo
1-4886	chr3	181031231	181031462	+	0	NA	intron (NR_075092, intron 3 of 6)	intron (NR_075092, intron 3 of 6)	81821	NR_125730	103625684		NR_125730	ENSG00000207357	RNU6-2	U6-2	RNA, U6 small nuclear 2	snRNA
1-10677	chr9	96286126	96286351	+	0	NA	intron (NM_001286722, intron 7 of 17)	intron (NM_001286722, intron 7 of 17)	-52628	NM_005392	5253	Hs.211441	NM_005392	ENSG00000197724	PHF2	CENP-35|GRC5|JHDM1E|KDM7C	PHD finger protein 2	protein-coding
